"用例编号","所属产品","所属模块","用例名称","前置条件","步骤","预期"
"412939	","曙光云Stack","/资源中心/网络/企业路由器(#1240)","ER >添加ER连接功能验证","1、存在vpc及子网sub1
2、存在已创建成功的er1、er2","1. 点击网络控制台->企业路由器
2. 点击前置条件2的er1名称，进入连接tab页
3. 点击添加连接，填写以下字段：
名称：link1
连接类型：虚拟私有云
虚拟私有云：vpc1
子网：sub1
点击确定
4. 点击添加连接，填写以下字段：
名称：link2
连接类型：企业路由器
授权码：点击er2右侧操作下的生成授权码，将生成的授权码填写在此处
点击确定
5. 删除步骤2、3中的连接
6. 重复步骤2、3、4
","1. 成功进入到ER列表
2. 成功进入到连接tab页
3. 连接创建成功，状态为运行中，er1详情->基本信息中有一条连接类型为虚拟私有云，连接资源为sub1,且状态是运行中的连接
4. 连接创建成功，状态为运行中，er1详情->基本信息中有一条连接类型为企业路由器，连接资源为er2,且状态是运行中的连接
5. 连接删除成功
6. 反复新建、删除连接均成功
",""
"412946	","曙光云Stack","/资源中心/网络/企业路由器(#1240)","ER > 详情页 > 连接 > 列表页 > 删除按钮","无","1. 点击网络控制台->企业路由器
2. 参考用例412939中步骤1-3，新建连接
3. 进入er详情->连接tab页，点击ER类型连接右侧操作下的删除
4. 删除确认弹窗确认
5. 点击确定
6. 点击取消或右上角的叉号
7. 进入er详情->连接tab页，点击ER类型连接右侧操作下的删除
","1. 进入到ER列表
2. 连接及路由表规则创建成功
3. 删除前有提示语，点击确定后可以正常删除，删除后，连接列表不展示已删除的连接
4. 措辞正确，布局合理美观
5. 可以正常删除连接，删除后连接列表不展示已删除的连接
6. 可以正常关闭当前弹窗，连接不删除
7. 删除前有提示语，点击确定后可以正常删除，删除后，连接列表不展示已删除的连接
",""
