用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"436766	",曙光云Stack,/资源中心/网络/负载均衡/负载均衡（基础版）(#826),v2-转发规则 > 转发规则可用性验证-监听器协议为HTTP > 验证条件为URL路径,"1.预置虚拟私有云lbv2_vpc1，网段132.1.1.0/24，并在lbv2_vpc1下创建三台弹性云服务器vm1、vm2、vm3
2.预置负载均衡（基础版）实例lbv2_test，名称字段为lbv2_test，版本类型为V2，集群选择Autotest，子网字段选择lbv2_vpc1对应的子网，规格字段选择slb.d6.large，其它字段保持默认值；创建完成后，请记录lb的虚拟ip地址（lb_vip），即负载均衡实例详情页字段网络IP对应的ip值，操作步骤中会用到该变量
3.在lbv2_test实例下，预置七层HTTP监听器，各字段值如下：
监听器名称：http_7070
协议：HTTP
协议端口：7070
资源池名称：backend_1
负载调度算法：加权轮询
其它字段保持默认值","1.进入负载均衡（基础版）模块，登录云平台后，依次点击如下菜单：资源中心->网络->负载均衡，进入负载均衡（基础版）模块
2.负载均衡列表页，点击前置条件2中预置的lbv2_test实例对应的配置监听器(前端协议/端口)字段，即点击前置条件3中准备的监听器名称http_7070
3.进入监听器详情页后，点击资源池tab
4.进入资源池列表后，点击前置条件3中准备的资源池backend_1
5.进入详情页，点击新建，选择vm1作为资源池成员，端口号以及权重保持默认值
6.点击右侧主页面向上返回的箭头，返回上一步资源池列表页
7.点击新建按钮，创建资源池backend_2，健康检查器字段选择激活，类型字段选择HTTP，HTTP(S)方法字段选择HEAD，URL地址输入/index.html,注意URL地址包括前面的/，其它字段保持默认
8.在资源池列表页，点击新创建的资源池backend_2
9.进入详情页，点击新建，选择vm2作为资源池成员，端口号以及权重保持默认值
10.点击右侧主页面向上返回的箭头，返回上一步资源池列表页
11.点击转发规则tab，进入转发规则tab页后，点击插入新规则按钮
12.创建规则时，按如下字段输入：
规则名称：输入rule_1
如果（条件全部匹配）:该字段对应的输入框包含多个字段，请按如下顺序依次识别选择：URL路径、包含(区分大小写)、111
那么转发动作是：该字段对应的输入框也包含多个字段，请按如下顺序依次识别选择：转发至、backend_1
以上选择完成后，点击保存
13.再次点击插入新规则按钮，此时页面有两个名称为插入新规则按钮的按钮，点击任意一个即可
14.创建规则时，按如下字段输入：
规则名称：输入rule_2
如果（条件全部匹配）:该字段对应的输入框包含多个字段，请按如下顺序依次识别选择：URL路径、包含(区分大小写)、222
那么转发动作是：该字段对应的输入框也包含多个字段，请按如下顺序依次识别选择：转发至、backend_2
以上选择完成后，点击保存
15.ssh_vm连接vm1，执行如下步骤：
15.1 执行命令：mkdir -p /root/test &&  cd /root/test && echo ""this is vm1"" >> index.html
15.2 执行命令：cd /root/test && cp index.html index111.html
15.3 执行命令：cd /root/test && nohup python3 -m http.server 7070 &
执行完该命令后，等待20秒钟
16.ssh_vm连接vm2，执行如下步骤：
16.1 执行命令：mkdir -p /root/test && cd /root/test && echo ""this is vm2"" >> index.html
16.2 执行命令：cd /root/test && cp index.html index222.html
16.3 执行命令：cd /root/test && nohup python3 -m http.server 7070 & 
执行完该命令后，等待20秒钟
17.ssh_vm连接vm3，执行如下步骤：
17.1. curl http://$lb_vip:7070/index.html，请注意替换变量为预置条件2中记录的$lb_vip
17.2. curl http://$lb_vip:7070/index111.html
17.3. curl http://$lb_vip:7070/index222.html","1.可以正常进入负载均衡（基础版）列表页
2.可以正常进入监听器详情页
3.可以打开资源池列表页
4.可以正常打开该资源池的详情
5.可以为该资源池正常添加成员
6.可以正常返回资源池列表页
7.可以正常创建新的资源池backend_2,列表显示名称为backend_2的资源池
8.可以正常打开新创建的资源池的详情
9.可以为该资源池正常添加成员
10.可以正常返回资源池列表页
11.可以正常打开转发规则创建页面
12.转发规则可以正常创建，规则列表页存在名称为rule_1的转发规则
13.可以正常打开转发规则创建页面
14.转发规则可以正常创建，规则列表页存在名称为rule_2的转发规则
15.可以正常ssh连接vm1
15.1命令执行成功，正常创建index.html文件
15.2复制出index111.html文件
15.3命令执行成功
16.可以正常ssh连接vm2
16.1命令执行成功，正常创建index.html文件
16.2复制出index222.html文件
16.3命令执行成功
17.可以正常ssh连接vm3
17.1命令执行成功，预期输出：this is vm1
17.2命令执行成功，预期输出：this is vm1
17.3命令执行成功，预期输出：this is vm2","1. 进入监听器http_7070的监听器tab，进入资源池backend_1详情页，将 vm1从 资源池 中移除
2. 进入监听器http_7070的监听器tab，进入资源池backend_2详情页，将 vm2从 资源池 中移除
3. 进入监听器http_7070的监听器tab，选择资源池tab，删除backend_2资源池
4. 删除监听器 http_7070
5. 删除负载均衡实例 lbv2_test
6. 删除前置条件1中预置的弹性云服务器vm1、vm2、vm3（由 vm fixture teardown 自动回收）
7. 删除前置条件1中预置的lbv2_vpc1（由 vpc fixture teardown 自动回收）",是（可复用用例编号为436766的测试数据）
436767,曙光云Stack,/资源中心/网络/负载均衡/负载均衡（基础版）/转发规则(#401943),v2-转发规则 > 转发规则可用性验证-监听器协议为HTTP > 验证条件为域名,"1.预置虚拟私有云lbv2_vpc1，网段132.1.1.0/24，并在lbv2_vpc1下创建三台弹性云服务器vm1、vm2、vm3
2.预置负载均衡（基础版）实例lbv2_test，名称字段为lbv2_test，版本类型为V2，集群选择Autotest，子网字段选择lbv2_vpc1对应的子网，规格字段选择slb.d6.large，其它字段保持默认值；
创建完成后，请记录lb的虚拟ip地址（lb_vip），即负载均衡实例详情页字段网络IP对应的ip值，操作步骤中会用到该变量
3.在lbv2_test实例下，预置七层HTTP监听器，各字段值如下：
监听器名称：http_7070
协议：HTTP
协议端口：7070
资源池名称：backend_1
负载调度算法：加权轮询
其它字段保持默认值","1.进入负载均衡（基础版）模块，登录云平台后，依次点击如下菜单：资源中心->网络->负载均衡，进入负载均衡（基础版）模块
2.负载均衡列表页，点击前置条件2中预置的lbv2_test实例对应的配置监听器(前端协议/端口)字段，即点击前置条件3中准备的监听器名称http_7070
3.进入监听器详情页后，点击资源池tab
4.进入资源池列表后，点击前置条件3中准备的资源池backend_1
5.进入详情页，点击新建，选择vm1作为资源池成员，端口号以及权重保持默认值
6.点击右侧主页面向上返回的箭头，返回上一步资源池列表页
7.点击新建按钮，创建资源池backend_2，健康检查器字段选择激活，类型字段选择HTTP，HTTP(S)方法字段选择HEAD，URL地址输入/index.html,注意URL地址包括前面的/，其它字段保持默认
8.在资源池列表页，点击新创建的资源池backend_2
9.进入详情页，点击新建，选择vm2作为资源池成员，端口号以及权重保持默认值
10.点击右侧主页面向上返回的箭头，返回上一步资源池列表页
11.点击转发规则tab，进入转发规则tab页后，点击插入新规则按钮
12.创建规则时，按如下字段输入：
规则名称：输入rule_1
如果（条件全部匹配）:该字段对应的输入框包含多个字段，请按如下顺序依次识别选择：域名、精确匹配相等、1example.com
那么转发动作是：该字段对应的输入框也包含多个字段，请按如下顺序依次识别选择：转发至、backend_2
以上选择完成后，点击保存
13.ssh_vm连接vm1，执行如下步骤：
13.1 执行命令：mkdir -p /root/test &&  cd /root/test && echo ""this is vm1"" >> index.html
13.2 执行命令：cd /root/test && nohup python3 -m http.server 7070 & 
执行完该命令后，等待20秒钟
14.ssh_vm连接vm2，执行如下步骤：
14.1 执行命令：mkdir -p /root/test && cd /root/test && echo ""this is vm2"" >> index.html
14.2 执行命令：cd /root/test && nohup python3 -m http.server 7070 & 
执行完该命令后，等待20秒钟
15.ssh_vm连接vm3，执行如下步骤：
15.1 执行命令：echo ""$lb_vip 1example.com example.com1"" >> /etc/hosts
注意替换变量$lb_vip为前置条件2中记录的真实的虚拟ip地址$lb_vip
15.2 执行命令：curl http://1example.com:7070
15.3 执行命令：curl http://example.com1:7070 
","1.可以正常进入负载均衡（基础版）列表页
2.可以正常进入监听器详情页
3.可以打开资源池列表页
4.可以正常打开该资源池的详情
5.可以为该资源池正常添加成员
6.可以正常返回资源池列表页
7.可以正常创建新的资源池backend_2,列表显示名称为backend_2的资源池
8.可以正常打开新创建的资源池的详情
9.可以为该资源池正常添加成员
10.可以正常返回资源池列表页
11.可以正常打开转发规则创建页面
12.转发规则可以正常创建，规则列表页存在名称为rule_1的转发规则
13.可以正常ssh连接vm1
13.1命令执行成功，正常创建index.html文件
13.2命令执行成功
14.可以正常ssh连接vm2
14.1命令执行成功，正常创建index.html文件
14.2命令执行成功
15.可以正常ssh连接vm3
15.1命令执行成功
15.2命令执行成功，预期输出：this is vm2
15.3命令执行成功，预期输出：this is vm1
","1. 进入监听器http_7070的监听器tab，进入资源池backend_1详情页，将 vm1从 资源池 中移除
2. 进入监听器http_7070的监听器tab，进入资源池backend_2详情页，将 vm2从 资源池 中移除
3. 进入监听器http_7070的监听器tab，选择资源池tab，删除backend_2资源池
4. 删除监听器 http_7070
5. 删除负载均衡实例 lbv2_test
6. 删除前置条件1中预置的弹性云服务器vm1、vm2、vm3（由 vm fixture teardown 自动回收）
7. 删除前置条件1中预置的lbv2_vpc1（由 vpc fixture teardown 自动回收）",是（可复用用例编号为436766的测试数据）
