用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期
"407247	",曙光云Stack,/资源中心/网络/流量镜像(#401498),流量镜像-修改,"1.已经预置了流量镜像实例，覆盖了云内实例和云外设备两种类型
创建过程可参考用例：
http://pm.mysugoncloud.com:82/testcase-view-407258.html
http://pm.mysugoncloud.com:82/testcase-view-421682.html
","1. 进入流量镜像模块，依次点击：产品与服务->网络->流量镜像TM
2. 点击云内实例类型的流量镜像，对应操作栏的修改按钮
3. 修改名称和描述字段，如在原有名称基础上增加_modified，修改后点击确定
4. 再次对内云外类型的流量镜像执行步骤2、3
","1. 页面可以正常跳转，进入流量镜像模块，正常显示已经创建好的流量镜像实例
2. 弹出修改窗口，初始值显示正确
3. 提示修改成功，列表显示修改后的值
4. 提示修改成功，列表显示修改后的值
"
"407248	",曙光云Stack,/资源中心/网络/流量镜像(#401498),流量镜像-删除,"1.已经预置了流量镜像实例，覆盖了云内实例和云外设备两种类型
创建过程可参考用例：
http://pm.mysugoncloud.com:82/testcase-view-407258.html
http://pm.mysugoncloud.com:82/testcase-view-421682.html
其中包含创建会话的流量镜像实例
","1. 进入流量镜像模块，依次点击：产品与服务->网络->流量镜像TM
2. 点击云内实例类型的流量镜像（其下无会话），对应操作栏的删除按钮
3. 点击云内实例类型的流量镜像（其下有会话），对应操作栏的删除按钮
4. 批量选择多个流量镜像实例，均无会话
5. 批量选择多个流量镜像实例，包含有会话的实例
6. 查看流量镜像列表页
","1. 页面可以正常跳转，进入流量镜像模块，正常显示已经创建好的流量镜像实例
2. 点击后有确认提示，确认后，该流量镜像删除成功，从列表消失
3. 点击后有相应的提示，有会话的流量镜像不允许删除
4. 可以批量删除成功，删除后相应的实例在列表不可见
5. 无会话的实例可以删除成功，有会话的实例提示不允许删除
6. 列表页不显示已删除的流量镜像
"
"407249	",曙光云Stack,/资源中心/网络/流量镜像(#401498),镜像会话-新建-云内实例,"1.用例依赖：http://pm.mysugoncloud.com:82/testcase-view-407258.html，执行前请先参考此用例创建流量镜像；
前置条件也沿用用例407258的，即：
1.平台已经预置vpc1和vpc2，并分别在两个vpc下创建弹性云服务器，vpc1下创建：ecs1、ecs11、ecs12，vpc2下创建ecs2、ecs21；
2.两个vpc关联的acl以及虚机绑定的安全组放行所有流量；
其中ecs1创建为目的实例。","1. 参考前置条件1准备流量镜像实例
2. 镜像列表页，点击镜像名称，进入详情，选择镜像会话tab
3. 点击新建镜像会话按钮
3.1. 名称：输入常规名称即可，如tm_session
3.2. 是否开启：开启
3.3. 专有网络：选择vpc1及其子网
3.4. 镜像源：选择ecs11
3.5. 方向：选择全部流量
3.6. 描述：我的流量镜像_-123Abc
3.7. 输入以上信息后，点击确定
4. 进入弹性云服务器模块，vnc登录目的实例ecs1
5. 在ecs1新增的网卡上抓包，执行命令：
tcpdump -i  icmp -nvv
6. vnc登录ecs12，对镜像源虚机ecs11执行ping命令，即在ecs12执行：ping $ecs11_ip
7. 查看步骤5中的命令输出
8. 停止执行步骤6中的ping命令
9. 再次执行步骤3及子步骤，注意专有网络选择vpc2，镜像源选择ecs2
10. vnc登录ecs21，对镜像源虚机ecs2执行ping命令，即在ecs21执行：ping $ecs2_ip
11. 查看步骤5中的命令输出
","1. 流量镜像实例正常创建出来，状态为正常
2. 页面可以正常打开，无异常报错，如果有存量镜像会话，可以正常显示
3. 
3.1. 可以正常输入
3.2. 默认为开启，保持默认值
3.3. 可以正常选择
3.4. 可以正常选择
3.5. 可以正常选择
3.6. 可以正常输入
3.7. 可以正常创建镜像会话
4. 可以正常vnc登录
5. 抓包命令可以正常执行
6. 可以正常ping通
7. 可以抓到出向和入向的流量，即流量可以正常镜像到目的实例
8. 镜像流量停止，抓不到包
9. 可以正常创建出新的镜像会话
10. 可以正常ping通
11. 可以抓到出向和入向的流量，即与目的实例跨vpc的流量可以正常镜像到目的实例
"
"407253	",曙光云Stack,/资源中心/网络/流量镜像(#401498),镜像会话-修改-云内实例,1.已经预置了流量镜像实例，以及镜像会话，创建步骤可以参考：http://pm.mysugoncloud.com:82/testcase-view-407249.html,"1. 进入流量镜像模块，依次点击：产品与服务->网络->流量镜像TM
2. 点击流量镜像名称，进入详情，选择镜像会话tab
3. 在与镜像源虚机同vpc的其它虚机，对镜像源执行ping命令，ping $镜像源虚机_ip
4. 进入目的实例的命令行窗口，在流量镜像网卡上执行抓包命令：
tcpdump -i  icmp -nvv
5. 点击镜像会话操作栏的修改镜像会话按钮
6. 修改镜像会话的开启状态，修改为关闭，观察步骤3的抓包情况
7. 修改为开启状态，观察步骤3的抓包情况
8. 修改方向为全部流量
9. 修改方向为入向流量
10. 修改方向为出向流量
11. 修改会话名称和描述，在原有值基础上增加_modified
","1. 页面可以正常跳转，进入流量镜像模块，正常显示已经创建好的流量镜像实例
2. 列表正常显示预置的镜像会话
3. 可以正常ping通
4. 抓包命令可以正常执行，可以按镜像会话的配置抓到符合规则的报文
5. 页面可以正常打开，布局合理，初始值显示正确
6. 关闭后抓不到包
7. 开启后，可以正常抓到包
8. 可以抓到报文，抓到全部的流量
9. 可以抓到报文，抓到入向的流量
10. 可以抓到报文，抓到出向的流量
11. 可以正常保存提交，列表显示的信息是修改后的值
"
"407254	",曙光云Stack,/资源中心/网络/流量镜像(#401498),镜像会话-删除,1.已经预置了流量镜像实例，以及镜像会话，创建步骤可以参考：http://pm.mysugoncloud.com:82/testcase-view-407249.html,"1. 进入流量镜像模块，依次点击：产品与服务->网络->流量镜像TM
2. 点击流量镜像名称，进入详情，选择镜像会话tab
3. 在与镜像源虚机同vpc的其它虚机，对镜像源执行ping命令，ping $镜像源虚机_ip
4. 进入目的实例的命令行窗口，在流量镜像网卡上执行抓包命令：
tcpdump -i  icmp -nvv
5. 点击镜像会话操作栏的删除按钮
6. 观察步骤3的抓包情况
7. 在镜像会话列表，选择多个镜像会话，如2个，点击批量删除按钮
","1. 页面可以正常跳转，进入流量镜像模块，正常显示已经创建好的流量镜像实例
2. 列表正常显示预置的镜像会话
3. 可以正常ping通
4. 抓包命令可以正常执行，可以按镜像会话的配置抓到符合规则的报文
5. 删除前有确认提示，确认后从列表消失
6. 会话删除后，抓不到包
7. 删除前有确认提示，确认后从列表消失
"
"407258	",曙光云Stack,/资源中心/网络/流量镜像(#401498),流量镜像-新建-云内实例-ECS类型,"1.平台已经预置vpc1和vpc2，并分别在两个vpc下创建弹性云服务器ecs1和ecs2；
2.vpc关联的acl以及虚机绑定的安全组放行所有流量；","1. 进入流量镜像模块，依次点击：产品与服务->网络->流量镜像TM
2. 点击新建流量镜像按钮
2.1. 名称：必填字段，输入常规名称即可，如tm_test
2.2. 目的类型：选择云内实例
2.3. 实例类型：云服务器ECS
2.4. 目的实例：选择ecs1
2.5. 其它信息保持默认值即可，点击确定
3. 进入新建的流量镜像详情页-详情tab
4. 进入弹性云服务器模块，vnc登录ecs1，执行命令：ip ad
","1. 页面可以正常跳转，进入流量镜像模块，正常显示已经创建好的流量镜像实例
2. 
2.1. 可以正常输入
2.2. 可以正常选择到
2.3. 可以正常选择到
2.4. 可以正常选择到
2.5. 可以正常创建流量镜像实例，提交后，列表可以查看到
3. 验证详情显示的信息与云服务器ECS实例详情信息一致
4. 显示比原来多一张网卡，新增的网卡名称一般为eth1
"
"421682	",曙光云Stack,/资源中心/网络/流量镜像(#401498),流量镜像-新建-云外设备,"1.平台物理网络已经准备好流量镜像测试用的云外vlan，并且获得相应目的实例网卡的mac地址；
PS.因物理网络已经配置好，一般本用例的测试会在成都环境进行，云外vlan使用：259
目的实例是在本云平台外的某节点上，自己创建一个目的实例。
举例来说：
测试流量镜像是在成都184环境进行，云外设备则必须从184的所有节点以外找一个节点当目的实例，
比如可以用170的某节点，如master02；在170的master02执行：
#给business网卡创建vlan子接口
ip link add link business name business.259 type vlan id 259
ip l set dev business.259 up
ip a s business.259
#即business.259的mac地址为云外目的实例的mac地址，vlan id为259
测试完成后，注意删除掉此vlan子接口，不然可能会影响下次云外设备类型的实例创建
删除命令：
# ip link del business.259","1. 进入流量镜像模块，依次点击：产品与服务->网络->流量镜像TM
2. 点击新建流量镜像按钮
2.1. 名称：必填字段，输入常规名称即可，如tm_underlay_test
2.2. 目的类型：选择云外设备
2.3. vlan：输入前置条件中准备的vlan，成都环境可以使用259
2.4. mac地址：输入前置条件中准备的目的实例mac地址
2.5. 其它信息保持默认值即可，点击确定
3. 进入新建的流量镜像详情页-详情tab
","1. 页面可以正常跳转，进入流量镜像模块，正常显示已经创建好的流量镜像实例
2. 
2.1. 可以正常输入
2.2. 可以正常选择到
2.3. 可以正常输入
2.4. 可以正常输入
2.5. 可以正常创建流量镜像实例，提交后，列表可以查看到
3. 验证详情显示的信息与输入的信息一致
"
"421687	",曙光云Stack,/资源中心/网络/流量镜像(#401498),镜像会话-新建-云外设备,"1.用例依赖：http://pm.mysugoncloud.com:82/testcase-view-421682.html，执行前请先参考此用例创建流量镜像；
2.平台已经预置vpc1，并在其下创建弹性云服务器：ecs11和ecs12；
3.vpc关联的acl以及虚机绑定的安全组放行所有流量。","1. 参考前置条件1准备流量镜像实例
2. 镜像列表页，点击镜像名称，进入详情，选择镜像会话tab
3. 点击新建镜像会话按钮
3.1. 名称：输入常规名称即可，如tm_session
3.2. 是否开启：开启
3.3. 专有网络：选择vpc1及其子网
3.4. 镜像源：选择ecs11
3.5. 方向：选择入向流量
3.6. 描述：我的流量镜像_-123Abc
3.7. 输入以上信息后，点击确定
4. SSH登录云外目的实例服务器
5. 在目的实例网卡上抓包，执行命令：
tcpdump -i  icmp -nvv
6. vnc登录ecs12，对镜像源虚机ecs11发送ping请求，即在ecs12执行：ping $ecs11_ip
7. 查看步骤5中的命令输出
8. 停止执行步骤6中的ping命令
","1. 流量镜像实例正常创建出来，状态为正常
2. 页面可以正常打开，无异常报错，如果有存量镜像会话，可以正常显示
3. 
3.1. 可以正常输入
3.2. 默认为开启，保持默认值
3.3. 可以正常选择
3.4. 可以正常选择
3.5. 可以正常选择
3.6. 可以正常输入
3.7. 可以正常创建镜像会话
4. 可以正常ssh登录
5. 抓包命令可以正常执行
6. 可以正常ping通
7. 可以抓到出向和入向的流量，即流量可以正常镜像到目的实例
8. 镜像流量停止，抓不到包
"
"421688	",曙光云Stack,/资源中心/网络/流量镜像(#401498),镜像会话-修改-云外设备,1.已经预置了流量镜像实例，以及镜像会话，创建步骤可以参考：http://pm.mysugoncloud.com:82/testcase-view-421687.html,"1. 进入流量镜像模块，依次点击：产品与服务->网络->流量镜像TM
2. 点击流量镜像名称，进入详情，选择镜像会话tab
3. 在与镜像源虚机同vpc的其它虚机，对镜像源执行ping命令，ping $镜像源虚机_ip
4. 进入目的实例的命令行窗口，在流量镜像网卡上执行抓包命令：
tcpdump -i  icmp -nvv
5. 点击镜像会话操作栏的修改镜像会话按钮
6. 修改镜像会话的开启状态，修改为关闭，观察步骤3的抓包情况
7. 修改为开启状态，观察步骤3的抓包情况
8. 修改方向为全部流量
9. 修改方向为入向流量
10. 修改方向为出向流量
11. 修改会话名称和描述，在原有值基础上增加_modified
","1. 页面可以正常跳转，进入流量镜像模块，正常显示已经创建好的流量镜像实例
2. 列表正常显示预置的镜像会话
3. 可以正常ping通
4. 抓包命令可以正常执行，可以按镜像会话的配置抓到符合规则的报文
5. 页面可以正常打开，布局合理，初始值显示正确
6. 关闭后抓不到包
7. 开启后，可以正常抓到包
8. 可以抓到报文，抓到全部的流量
9. 可以抓到报文，抓到入向的流量
10. 可以抓到报文，抓到出向的流量
11. 可以正常保存提交，列表显示的信息是修改后的值
"
