用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,
"418598	",曙光云Stack,/资源中心/网络/云专线v1/物理连接(#1020),物理连接-新建功能测试,,"1. 进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->物理连接
2. 点击新建按钮，表单信息按常规输入即可
2.1. (1).物理连接名称，输入自定义字符串，如physical_connection
2.2. (2).运营商，测试环境可以随意选，如选择联通，生产环境按实际的运营商选择即可
2.3. (3).端口类型，测试环境可以随意选，如选择10GE光口
2.4. (4).联系人姓名、手机号、Email按常规输入
2.5. (5).HA选项，默认为开启状态，关闭HA
3. 其它信息可以为空，点击立即创建按钮
4. 列表页，点击新创建的云专线实例，进入详情
","1. 可以正常登录
2. 页面可正常跳转，无报错出现
3. 
3.1. 可以正常输入，输入后字段值在输入框中显示准确
3.2. 可以正常选择，字段值在输入框中显示准确
3.3. 可以正常选择，字段值在输入框中显示准确
3.4. 可以正常输入，输入后字段值在输入框中显示准确
3.5. 默认值显示准确，保持开启状态
4. 可以正常创建，创建后列表可以正常显示新增的物理连接记录，状态为&quot;办理中&quot;
5. 详情可以正常显示，HA状态正确，其它信息显示准确
",否
"420672	",曙光云Stack,/资源中心/网络/云专线v1/物理连接(#1020),dcv1 > 物理连接 > 审批功能测试-通过,"
预置一个云专线物理连接","1. 使用admin登录，进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->物理连接
2. 物理连接列表页，针对预置处于办理中的物理连接，点击操作栏的审批按钮
3. (1).状态选择通过
4. (2).vlan号，填写物理网络规划的，用于云专线测试的vlan号，如成都环境对应vlan为205
5. (3).集群，选择用于创建云服务器的集群即可
6. 点击确定
","1. 页面可正常跳转，无报错出现
2. 可以正常打开审批页，页面显示正常
3. 可以正常选择
4. vlan号可以正常输入，输入后vlan值显示在输入框中
5. 可以正常选择，选择后集群显示在输入框中
6. 可以正常创建物理连接，列表显示正常，审批通过后实例状态变成&quot;创建中&quot;
",是
,,,,编辑,,,是
,,,,删除,,,是
