"用例编号","所属产品","所属模块","用例名称","前置条件","步骤","预期"
"5921	","曙光云Stack","/资源中心/网络/企业路由器(#1240)","企业路由器-新建-HA","1、名称：er-test
集合Autotest","1. 进入企业路由器模块，菜单依次点击：产品与服务->网络->企业路由器ER
2. 在企业路由器页进行操作-新建，填写有效数据
2.1. 名称按常规输入即可
2.2. 集群，选择创建弹性云服务器常用的集群
2.3. HA选项默认为开启，保持默认值
2.4. 点击立即创建
3. 在环境后台master执行命令：gova list -size 500 | grep （企业路由器名称）
","1. 进入ER列表
2. 
2.1. 可以正常输入
2.2. 可以选择主机集群，选择后集群名称显示在输入框
2.3. 可以正常显示
2.4. 新建成功，列表页和详情页显示信息与新建数据一致
3. 验证虚机为运行中，并且是双实例运行，并且两个实例不运行在同一节点上
",""
"5927	","曙光云Stack","/资源中心/网络/企业路由器(#1240)","企业路由器--NAT场景验证","1、云平台已存在vpc1及子网sub1、弹性云服务器vm1、vm2，企业路由器er1,er开启HA、
2、名称：nat1
关联模式：企业路由器
企业路由器：er1
弹性公网IP：fip1","1. 进入网络->NAT网关，按前置条件2创建一个NAT网关
2. 进入到前置条件1中的er1->详情->连接下，添加到vpc子网sub1的连接：
名称：link1
连接类型：虚拟私有云
虚拟私有云：vpc1
子网：sub1
3. 在前置条件1中的vpc1详情-路由表页进行操作-新建路由表规则，
目的地址：0.0.0.0/0
下一跳类型：企业路由器
下一跳：er1
填写其他有效数据
4. 在企业路由器详情-路由表页进行操作-新建路由表规则，
目的地址：0.0.0.0/0
下一跳类型：NAT
连接：下拉框中默认的连接
下一跳：nat1
填写其他有效数据
5. 在nat详情-路由表页进行操作-新建路由表规则，
目的地址：sub1的CIDR
下一跳类型：企业路由器
下一跳：er1
6. 在nat详情-SNAT页进行操作-新建snat规则：
源地址：子网
子网：sub1
7. 验证SNAT规则正常可通：
前置条件vpc1中的一个弹性云服务器vm1中执行命令： ping baidu.com
8. 在nat详情-SNAT页进行操作-新建dnat规则：
协议：TCP
公网端口：22
私有子网：sub1
私网IP：vm2
私网端口：22
9. 验证DNAT规则正常可通：
在环境后台master节点执行：ssh root@fip1
","1. nat网关创建成功，列表展示该nat网关状态为运行中
2. 连接添加成功，状态为运行中
3. 添加路由表规则成功
4. 添加路由表规则成功
5. 添加路由表规则成功
6. 添加SNAT规则成功
7. 验证可以ping通
8. 添加DNAT规则成功
9. 可以跳转到vm2
",""
"412950	","曙光云Stack","/资源中心/网络/企业路由器(#1240)","ER > 可用性验证 > ER打通同租户两个VPC","(1).云平台已创建两个vpc，如vpc1和vpc2，并且具有不同的cidr
(2).需要在两个vpc下各至少创建1台弹性云服务器vm1、vm2，用于联通性测试，确认虚机ip分配正常
(3).VPC关联的ACL已放通所有流量
(4).vm关联的安全组已放通所有流量
(5).名称：er
集群：环境中的可用集群，如Autotest
不开启HA","1. 进入网络->企业路由器模块，参考前置条件5创建ER
2. 列表页点击ER名称，进入详情，选择连接tab，点击新建连接，将前置条件1的vpc1和vpc2添加为ER的连接
3. 进入vpc模块，列表点击vpc1，在路由表tab下添加自定义路由：
目的地址为vpc2的cidr，
下一跳为上一步创建的er实例
4. 进入vpc模块，列表点击vpc2，在路由表tab下添加自定义路由：
目的地址为vpc1的cidr，
下一跳为上一步创建的er实例
5. 验证ER连通性，在vpc1下的弹性云服务器执行ping命令，目的ip为vpc2下的弹性云服务器ip，
对应命令：ping $ip
6. 验证ER连通性，在vpc2下的弹性云服务器执行ping命令，目的ip为vpc1下的弹性云服务器ip，
对应命令：ping $ip
","1. ER创建成功，ER列表页显示实例状态为运行中
2. 连接创建成功，状态是运行中
3. 自定义路由添加成功
4. 自定义路由添加成功
5. 可以正常ping通vpc2下的虚机
6. 可以正常ping通vpc1下的虚机
",""
"412951	","曙光云Stack","/资源中心/网络/企业路由器(#1240)","ER > 可用性验证 > ER对等连接 打通跨租户两个VPC","因为ER要开启HA，所以确保测试的环境是非单节点；
1、云平台预置如下数据：
不同租户项目下创建两个vpc，如分别命名为vpc1、子网sub1和vpc2、子网 sub2；
两个vpc下分别各创建一个弹性云服务器，vm1和vm2；
2、VPC关联的ACL已放通所有流量
3、vm关联的安全组已放通所有流量
4、
1）
名称：er1
集群：环境中的可用集群，如Autotest
不开启HA
2）
名称：er2
集群：环境中的可用集群，如Autotest
开启HA","1. 参考前置条件1，进入弹性云服务器控制台->弹性云服务器列表，验证ER没有打通两个VPC时，两个VPC下的弹性云服务器不互通
1.1. 进入vm1的vnc，执行命令：ping $vm2
1.2. 进入vm1的vnc，执行命令：ssh root@$vm2
2. 参照前置条件4，在不同租户下各创建一个ER
3. 在er1详情->连接tab页，为er1创建VPC类型连接，选择其对应的vpc1和子网sub1
4. 在er2详情->连接tab页，为er2创建VPC类型连接，选择其对应的vpc2和子网sub2
5. 在ER详情->连接tab页，为ER1和ER2创建ER类型连接：
1）ER1下的ER类型的连接授权码来自ER2；
2）ER2下的ER类型的连接授权码来自ER1；
（授权码来源：在ER列表点击er右侧操作下的生成授权码）
6. 在两个vpc详情->路由表tab页下，添加路由表规则：
1）VPC1：目的网段为跨租户对端vpc网段（sub2的CIDR），下一跳为当前ER1
2）VPC2：目的网段为跨租户对端vpc网段（sub1的CIDR），下一跳为当前ER2
7. 进入ER详情->路由表tab页，为ER1和ER2创建路由表规则：
1）ER1：目的网段为跨租户对端vpc网段（sub2的CIDR），下一跳类型为ER，连接为对端ER对应的连接，下一跳为对端ER2
2）ER2：目的网段为跨租户对端vpc网段（sub1的CIDR），下一跳类型为ER，连接为对端ER对应的连接，下一跳为对端ER1
8. 重复步骤1
","1. 
1.1. ping不通
1.2. ssh不通
2. ER创建成功，状态为运行中，列表与详情展示信息与创建时填入的数据保持一致
3. 连接创建成功，状态为运行中
4. 连接创建成功，状态为运行中
5. 连接创建成功，状态为运行中
6. 路由表规则创建成功，列表正常展示创建成功的路由表规则
7. 路由表规则创建成功，列表正常展示创建成功的路由表规则
8. 跨vpc的两个弹性云服务器被成功打通
",""
"420354	","曙光云Stack","/资源中心/网络/企业路由器(#1240)","企业路由器-删除","1、云平台存在多个ER
2、ER1、ER2存在连接，ER3和ER4不存在连接，（参考用例5923创建连接）","1. 点击网络控制台->企业路由器
2. 点击ER1右侧的删除按钮
3. 点击ER3右侧的删除按钮
4. 在环境后台master节点执行gova list --name ER3
5. 选中ER1、ER2和ER4，点击批量删除
6. 在环境后台master节点执行gova list
7. 在ER1详情->连接tab页，删除ER下的所有连接
8. 重复步骤2
9. 在环境后台master节点执行gova list --name ER1
","1. 进入ER列表
2. 有删除确认提示语，确认后删除失败，提示存在连接无法删除
3. 有删除确认提示语，确认后删除成功，ER列表不展示已删除的数据
4. 返回结果为空
5. 有删除确认提示语，确认后ER1、ER2删除失败，提示存在连接无法删除，ER4删除成功
6. 返回结果中还有ER1、ER2，已没有ER4
7. 连接删除成功，连接列表不展示已删除成功的连接
8. 连接删除后，ER删除成功
9. 返回结果为空
",""
"420810	","曙光云Stack","/资源中心/网络/企业路由器(#1240)","企业路由器-新建-noHA","1、名称：er-test
集合Autotest","1. 确认是多节点部署的环境，非单节点；登录云平台
2. 进入企业路由器模块，菜单依次点击：产品与服务->网络->企业路由器ER
3. 在企业路由器页进行操作-新建，填写有效数据
3.1. 名称按常规输入即可
3.2. 集群，选择创建弹性云服务器常用的集群
3.3. HA选项默认为开启，关闭HA
3.4. 点击立即创建
4. 在环境后台master执行命令：gova list -size 500 | grep （企业路由器名称）
5. 确认ER虚机防火墙状态
5.1. 在后台执行命令gova show $vm_id，vm_id来自于步骤4的输出
5.2. admin登录平台，进入基础设施->mfip模块，查询100.65.X.X对应的mfip地址
5.3. 通过mfip连接er虚机，执行命令:
ssh -p 22022 $mfip，密码是admin1234@sugon
5.4. 在虚机上执行命令：/etc/init.d/firewall status
","1. 可以正常登录
2. 进入ER列表页
3. 
3.1. 可以正常输入
3.2. 可以选择主机集群，选择后集群名称显示在输入框
3.3. 可以正常关闭
3.4. 新建成功，列表页和详情页显示信息与新建数据一致
4. 验证虚机为运行中，并且是单实例运行
5. 
5.1. 显示该云服务器的详细信息，其中显示该节点的管理ip：100.65.X.X
5.2. 可以正确查询出mfip信息
5.3. 可以正常ssh登录此虚机
5.4. 显示防火墙为inactive状态
",""
