"用例编号","所属产品","所属模块","用例名称","前置条件","步骤","预期"
"420684	","曙光云Stack","/资源中心/网络/云专线v1(#1019)","dcv1 > 生效性验证 > vpc类型+HA+非单节点环境-静态路由","(1).云专线需要在物理交换机上做相应配置，如成都环境已经做好配置，可以实现云内云外互通；
(2).青岛113环境，只是可以验证页面功能，但因物理层交换机没有相应配置，故无法测试联通性
(3).成都环境在进行DCv1测试时，用于验证连通性的vpc网段可任意填写（注意，不和云外子网重叠，不和互联地址重叠），在创建虚拟网关前，请先准备vpc，并且需要在vpc下至少创建1台虚机，用于联通性测试
（4）云专线联通测试云内子网需要为以下的地址：13.34.34.0/24，13.56.56.0/24，17.25.25.0/24","1. 登录非单节点部署的环境
2. 进入云专线->物理连接模块，点击创建物理连接，各字段保持常规输入即可，开启HA模式
3. 对物理连接进行审批，审批通过，输入相应vlan号，成都环境使用vlan205，选择主机集合
4. 创建虚拟网关，选择预置的vpc
5. 创建虚拟接口，选择上述步骤创建的物理连接和虚拟网关，本端网关输入:11.22.0.2/24，远端网关输入11.22.0.3/24；选择静态路由模式，远端子网输入：123.12.0.0/24
6. 在vpc下添加自定义路由，目的地址为：123.12.0.0/24，下一跳为上述步骤创建的物理连接
7. 在该vpc下的虚机执行ping命令，成都环境对应云外ip为:123.12.0.10，对应命令：ping 123.12.0.10
8. 确认DC虚机底层信息
8.1. 在环境后台master执行命令：gova list -size 500 | grep （物理连接详情中虚机的名称）
8.2. 在后台执行命令gova show $vm_id，vm_id来自于步骤8.1的输出
8.3. 通过mfip连接dc虚机，执行命令:
ssh -p 22022 $mfip，密码是admin1234@sugon
8.4. 在虚机上执行命令：/etc/init.d/firewall status
8.5. 查看持久化的dc日志，执行命令：/var/log/messages，可以根据云专线id查询
8.6. 对虚机做一下重启，再次执行步骤8.5
8.7. 对虚机做一下迁移，再次执行步骤8.5，执行命令：
gova migrate -h xxx.sugon.local -live $VM_ID
9. 进入虚拟接口模块，删除对应虚拟接口，查看ping流量
","1. 平台可以正常登录
2. 可以正常创建，列表页状态显示为正常
3. 审批功能正常，审批后，稍等几分钟可以正常创建出物理连接
4. 可以正常选择到预置的vpc
5. 虚拟接口可以正常创建
6. 自定义路由添加成功
7. 可以正常ping通云外地址
8. 
8.1. 显示虚机为运行中
8.2. 显示该云服务器的详细信息，其中显示该节点的管理ip：100.65.X.X
8.3. 可以正常ssh登录此虚机
8.4. 显示防火墙为inactive状态
8.5. 可以查看到dc日志
8.6. 可以查看到dc日志，日志在重启后不丢失
8.7. 可以查看到dc日志，日志在迁移后不丢失
9. ping流量会中断
",""
"425400	","曙光云Stack","/资源中心/网络/云专线v1(#1019)","dcv1 > 生效性验证 > vpc类型+HA-BGP","(1).云专线需要在物理交换机上做相应配置，如成都环境已经做好配置，可以实现云内云外互通；
(2).成都环境在进行DCv1测试时，用于验证连通性的vpc网段可任意填写（注意，不和云外子网重叠，不和互联地址重叠），在创建虚拟网关前，请先准备vpc，并且需要在vpc下至少创建1台虚机，用于联通性测试","1. 登录非单节点部署的环境
2. 进入云专线->物理连接模块，点击创建物理连接，各字段保持常规输入即可，开启HA模式
3. 对物理连接进行审批，审批通过，输入相应vlan号，成都环境使用vlan705，选择主机集合
4. 创建虚拟网关，选择预置的vpc，BGP ASN输入10000
5. 创建虚拟接口，选择上述步骤创建的物理连接和虚拟网关，本端网关输入:172.22.29.100/24，远端网关输入172.22.29.254/24；选择BGP路由模式，BGP邻居AS号输入65533;BGP MD5认证密码是123123
6. 在vpc下添加自定义路由，目的地址为：10.9.9.0/24，下一跳为上述步骤创建的物理连接
7. 在该vpc下的虚机执行ping命令，成都环境对应云外ip为:10.9.9.9，对应命令：ping 10.9.9.9
8. 确认DC虚机防火墙状态和BGP邻居关系
8.1. 在环境后台master执行命令：
sudo su -
soure admin-openrc.sh
gova list -size 500 | grep （物理连接详情中虚机的名称）
8.2. 在后台执行命令gova show $vm_id，vm_id来自于步骤8.1的输出
8.3. 进入云平台->网络设施>mfip，根据上一步骤的100.65查询对应的mfip
8.4. 通过mfip连接dc虚机，执行命令:
ssh -p 22022 $mfip，密码是admin1234@sugon
8.5. 在虚机上执行命令：/etc/init.d/firewall status
8.6. 在虚机上执行命令：
vtysh
show ip bgp neighbors
8.7. 在虚机上执行命令：
show ip bgp summary
8.8. 在虚机上执行命令：
show ip route
9. 进入虚拟接口模块，删除对应虚拟接口，查看ping流量
","1. 平台可以正常登录
2. 可以正常创建，列表页状态显示为正常
3. 审批功能正常，审批后，稍等几分钟可以正常创建出物理连接
4. 可以正常选择到预置的vpc
5. 虚拟接口可以正常创建
6. 自定义路由添加成功
7. 可以正常ping通云外地址
8. 
8.1. 显示虚机为运行中
8.2. 显示该云服务器的详细信息，其中显示该节点的管理ip：100.65.X.X
8.3. 记录mfip
8.4. 可以正常ssh登录此虚机
8.5. 显示防火墙为inactive状态
8.6. 参考附件neighbors
8.7. 参考附件summary
8.8. 参考附件route
9. ping流量会中断
",""
