"用例编号","所属产品","所属模块","用例名称","前置条件","步骤","预期"
"5623	","曙光云Stack","/资源中心/网络/云专线v1/虚拟接口(#1022)","虚拟接口-修改功能测试-vpc-静态路由","已经存在vpc类型的虚拟接口记录","1. 进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->虚拟接口
2. 点击列表操作栏的修改按钮
2.1. (1).确认物理连接、虚拟网关、虚拟子网等信息的状态
2.2. (2).确认本端网关、远端网关等信息的状态
2.3. (3).修改其它字段信息（名称、远端子网以及描述等字段），如在原名称后面追加_modify等
2.4. 点击立即修改按钮
3. 列表页及详情页，查看记录信息
","1. 页面可正常跳转，无报错出现
2. 
2.1. 不允许修改，只读显示
2.2. 不允许修改，只读显示
2.3. 可以正常修改，修改后输入框显示新值
2.4. 可以正常提交修改
3. 列表以及详情显示修改后的记录的信息
",""
"6112	","曙光云Stack","/资源中心/网络/云专线v1/虚拟网关(#1021)","虚拟网关-修改功能测试-vpc","已存在虚拟网关，并且连接的是vpc","1. 进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->虚拟网关
2. 点击列表操作栏的修改按钮
2.1. (1).确认关联模式、虚拟私有云等信息的显示状态
2.2. (2).修改其它字段信息，如在原名称后面追加_modify等
3. 点击立即修改按钮
4. 列表页及详情页查看修改后的记录信息
","1. 页面可正常跳转，无报错出现
2. 
2.1. 不允许调整，只读显示
2.2. 可以正常修改，修改后输入框显示新值
3. 可以正常提交修改
4. 列表以及详情显示修改后的记录的信息
",""
"6116	","曙光云Stack","/资源中心/网络/云专线v1/虚拟接口(#1022)","虚拟接口-新建-ER类型虚拟网关-静态路由","(1).云专线需要在物理交换机上做相应配置，如成都环境已经做好配置，可以实现云内云外互通；
(2).成都环境在进行DCv1测试时，用于验证连通性的vpc网段为（任选一个即可）：
13.34.34.0/24
13.56.56.0/24
17.25.25.0/24
所以在创建虚拟网关前，请先准备vpc。并且需要在vpc下至少创建1台虚机作为Client端，用于连通性测试
(3).本场景需要提前创建ER实例，并将准备的vpc创建为连接
(4).创建虚拟接口前，需要先创建物理连接（通过审批）和虚拟网关","1. 进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->虚拟接口
2. 点击新建按钮，表单信息按常规输入即可
2.1. (1).虚拟接口名称，输入自定义字符串，如virtual_interface
2.2. (2).物理连接，选择对应物理连接
2.3. (3).虚拟网关，选择一个预置的er类型的虚拟网关
2.4. (4).本端网关，成都环境已经调整好物理网络，输入:11.22.0.2/24，其它环境可以随便输入，如17.17.17.2/24，只是非成都环境创建后无法进行生效性验证
2.5. (5).远端网关，成都环境已经调整好物理网络，输入:11.22.0.3/24，其它环境可以随便输入，如17.17.17.3/24，只是非成都环境创建后无法进行生效性验证
2.6. (6).路由模式，选择静态路由
2.7. (7).远端子网，成都环境已经调整好物理网络，输入:123.12.0.0/24，其它环境可以随便输入，如18.18.18.0/24，只是非成都环境创建后无法进行生效性验证
2.8. (8).本端子网，填写ER对应vpc的cidr信息，如13.34.34.0/24
3. 其它信息可保持默认值，点击立即创建
","1. 页面可正常跳转，无报错出现
2. 
2.1. 输入功能正常，输入值后可在输入框中正常显示
2.2. 下拉列表显示正常，可以选择到刚创建的物理连接
2.3. 下拉列表显示正常，可以选择到刚创建的虚拟网关
2.4. 输入功能正常，输入值后可在输入框中正常显示
2.5. 输入功能正常，输入值后可在输入框中正常显示
2.6. 可以正常选择到
2.7. 输入功能正常，输入值后可在输入框中正常显示
2.8. 输入功能正常，输入值后可在输入框中正常显示
3. 可以正常创建，创建后列表可以正常显示新增的虚拟接口记录，并且状态为运行中
",""
"420675	","曙光云Stack","/资源中心/网络/云专线v1/物理连接(#1020)","dcv1 > 物理连接 > 修改功能测试","无","1. 进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->物理连接
2. 点击列表操作栏的修改按钮
3. (1).确认运营商及端口类型、HA等字段状态
4. (2).修改其它字段信息，如在原名称后面追加_modify等
5. 点击立即修改按钮
6. 列表页，查看记录信息；之后点击名称进入详情页
","1. 页面可正常跳转，无报错出现
2. 可以正常弹出修改页，页面初始值显示正确，布局合理
3. 不允许修改，只读显示
4. 可以正常修改，修改后新的字段值显示在输入框中
5. 可以正常提交修改
6. 列表以及详情显示修改后的记录的信息
",""
"420678	","曙光云Stack","/资源中心/网络/云专线v1/虚拟网关(#1021)","dcv1 > 虚拟网关 > 修改功能测试-er","已存在虚拟网关，并且连接的是企业路由器","1. 进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->虚拟网关
2. 点击列表操作栏的修改按钮
3. (1).确认关联模式、企业路由器等信息的显示状态
4. (2).修改其它字段信息，如在原名称后面追加_modify等
5. 点击立即修改按钮
6. 列表页及详情页查看修改后的记录信息
","1. 页面可正常跳转，无报错出现
2. 可以正常弹出修改页，页面初始值显示正确，布局合理
3. 不允许调整，只读显示
4. 可以正常修改，修改后输入框显示新值
5. 可以正常提交修改
6. 列表以及详情显示修改后的记录的信息
",""
"420680	","曙光云Stack","/资源中心/网络/云专线v1/虚拟接口(#1022)"," 虚拟接口 > 修改功能测试-ER-静态路由","1.预置er类型的虚拟接口","1. 进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->虚拟接口
2. 点击列表操作栏的修改按钮
3. (1).确认物理连接、虚拟网关等信息的状态
4. (2).确认本端网关、远端网关等信息的状态
5. (3).修改其它字段信息（名称、远端子网、本端子网以及描述等字段），如在原名称后面追加_modify等
6. 点击立即修改按钮
7. 列表页及详情页，查看记录信息
","1. 页面可正常跳转，无报错出现
2. 可以正常弹出修改页，页面初始值显示正确，布局合理
3. 不允许修改，只读显示
4. 不允许修改，只读显示
5. 可以正常修改，修改后输入框显示新值
6. 可以正常提交修改
7. 列表以及详情显示修改后的记录的信息
",""
"420682	","曙光云Stack","/资源中心/网络/云专线v1/虚拟接口(#1022)","dcv1 > 虚拟接口 > 互通测试验证","1、云平台存在静态路由模式的虚拟接口
2、云平台存在BGP路由模式的虚拟接口","1. 进入云专线模块，菜单点击顺序：产品与服务->网络->云专线DC->虚拟接口
2. 虚拟接口列表页，针对某记录点击操作栏的互通测试按钮
3. 输入一个合法可达的云外ip地址，点击测试，以成都环境为例，如果是使用的vlan 205，则云外ip地址为123.12.0.10，如果使用的vlan 705，云外IP地址应该为10.9.9.9
4. 确认测试进度显示
5. 确认测试进度对应的帮助提示
6. 输入一个云外不可达的ip地址，如202.102.134.11，确认测试进度提示
","1. 页面可正常跳转，无报错出现
2. 可以正常弹窗，页面布局合理美观
3. 可以正常显示测试结果，结果准确，布局合理美观
4. 未开始测试时，进度显示为0%
测试中时，进度条会逐步推进
测试完成后，显示测试结果
5. 逻辑清楚，语义清晰，无错别字
6. 测试结果准确，显示连通失败
",""
"420687	","曙光云Stack","/资源中心/网络/云专线v1(#1019)","dcv1 > 生效性验证 > er类型+HA-静态路由","(1).云专线需要在物理交换机上做相应配置，如成都环境已经做好配置，可以实现云内云外互通；
(2).成都环境在进行DCv1测试时，用于验证连通性的vpc网段为（任选一个即可）：
13.34.34.0/24
13.56.56.0/24
17.25.25.0/24
所以在创建虚拟网关前，请先准备vpc。并且需要在vpc下至少创建1台虚机作为Client端，用于连通性测试
(3).本场景需要提前创建ER实例，并将准备的vpc创建为连接","1. 进入云专线->物理连接模块，点击创建物理连接，各字段保持常规输入即可；开启HA模式
2. 对物理连接进行审批，审批通过，输入相应vlan号，成都环境使用vlan205，选择主机集合
3. 创建虚拟网关，选择预置的企业路由器实例
4. 创建虚拟接口，选择上述步骤创建的物理连接和虚拟网关，本端网关输入:11.22.0.2/24，远端网关输入11.22.0.3/24；选择静态路由模式，远端子网输入:123.12.0.0/24，本端子网输入对应vpc的cidr，如13.34.34.0/24
5. 在vpc下添加自定义路由，目的地址为：123.12.0.0/24，下一跳为预置的企业路由器
6. 在企业路由器下添加自定义路由，目的地址为123.12.0.0/24，下一跳为云专线对应的连接
7. 在该vpc下的虚机执行ping命令，成都环境对应云外ip为:123.12.0.10，对应命令：ping 123.12.0.10
8. 此时删除虚拟接口，查看ping流量
","1. 可以正常创建，列表页状态显示为正常
2. 审批功能正常，审批后，稍等几分钟可以正常创建出物理连接
3. 可以正常选择到预置的er
4. 虚拟接口可以正常创建
5. 自定义路由添加成功
6. 自定义路由添加成功
7. 可以正常ping通云外地址
8. ping流量会中断
",""
