"用例编号","所属产品","所属模块","用例名称","前置条件","步骤","预期"
"436746	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","v2-新建监听器-HTTP+加权轮询基本功能验证","1.已经预置vpc，如vpc1，并在vpc下创建四台虚机，分别为ecs0、ecs1、ecs2、ecs3
2.在vpc1下，预置负载均衡(基础版)v2实例lb1，开启HA
3.监听器参数
监听器名称：http_7070
描述：1234567890edwqWDWQ中文~
协议：HTTP
协议端口：7070
资源池名称：backend_1
负载调度算法：加权轮询
其它字段保持默认值即可，如不开启会话保持、不开启健康检查等
注：本用例是针对lb基础版v2实例","1. 进入负载均衡模块，依次点击：产品与服务->网络->负载均衡SLB
2. 在lbv1列表页，点击预置的lb实例名称，进入详情，选择监听器tab
3. 点击新建按钮，按前置条件3中的参数，创建HTTP监听器
4. 在lb详情页->监听器tab下->点击监听器名称->选择资源池tab，进入资源池详情后，点击创建按钮，选择ecs1、2、3为该资源池的成员，对应端口为7070，权重为1:2:2
5. 进入弹性云服务器模块，分别登录ecs1、2、3的vnc窗口，执行如下操作
5.1. 创建测试目录(如已执行过，则可跳过此步):
cd /root
mkdir test
5.2. 创建测试文件(如已执行过，则可跳过此步)，以ecs1为例：
cd test/
echo &quot;this is ecs1&quot; >> index.html
其它虚机注意修改&quot;this is ecs后的数字标识
5.3. 启动web server，执行命令：
python3 -m http.server 7070
6. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:7070/index.html
7. 在负载均衡列表页，针对此lb实例，点击其操作栏的绑定公网ip按钮，绑定公网ip(如已执行过，则可跳过此步)
8. 本地客户端通过fip访问负载均衡，执行命令：curl http://$lb_fip:7070/index.html
9. 后台执行命令确认pod数量，SSH登录master节点，任一节点即可，执行命令：
kubectl get pods -A |grep $lb_id，$lb_id来自于lb实例详情页
","1. 可以正常进入负载均衡模块，lbv1列表可以正常显示
2. 详情页可以正常显示
3. 创建监听器成功并提示信息，监听器详情页显示信息与新建数据一致
4. 新建成员成功，资源池列表显示信息与新建资源数据一致
5. 
5.1. 目录创建成功
5.2. 文件创建成功
5.3. web服务启动成功
6. 执行成功，会显示&quot;this is ecsX&quot;，多执行几次后，整体符合1：2：2的规律
7. fip绑定成功，可以在列表显示绑定的公网ip地址
8. 执行成功，会显示&quot;this is ecsX&quot;，多执行几次后，整体符合1：2：2的规律
9. 因lbv1开启了HA，预期有两个pod
",""
"436747	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","v2-访问控制 > 访问控制功能可用性验证-协议为HTTP > 验证访问控制为白名单的场景-外网LB","1.参照用例：http://pm.mysugoncloud.com:82/testcase-view-436746.html 创建http监听器，注意添加资源池成员时，可以只添加ecs2和ecs3，ecs1不要添加进资源池成员
2.预置ip地址组ip_group1，其成员包括ecs0的ip地址
注：本用例是针对lb基础版v2实例
","1. 按前置条件中的说明创建http监听器，并添加监听器成员，并在各real server上开启web服务
2. 在lb详情页->监听器tab下->点击监听器名称，进入监听器详情tab
3. 点击访问控制的编辑按钮，在修改页面配置访问控制
3.1. 启用访问控制
3.2. 访问控制：白名单
3.3. ip地址组：选择前置条件2中的ip地址组ip_group1
4. 点击确定按钮
5. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
6. 在lb列表页，点击实例操作栏对应的绑定公网ip按钮，绑定公网ip
7. 本地控制台（或其它linux服务器）请求此lb实例，执行命令：
curl http://$lb_fip:8080/index.html
8. 进入ip地址组模块，点击ip_group1名称进入详情，添加本机（或其它linux服务器）ip地址到此地址组的成员中
9. 再次执行步骤7
","1. 可以正常创建http监听器，并且web服务可以正常开启
2. 监听器详情tab可以正常打开
3. 
3.1. 默认是关闭状态，可以点击打开
3.2. 可以选择到白名单选项
3.3. 可以选择该ip地址组
4. 可以开启访问控制，详情中访问控制信息均正确无误
5. 执行成功，会显示&quot;this is ecsX&quot;
6. 可以正常绑定公网ip地址
7. 请求不成功
8. 可以添加成功，列表显示本机ip地址
9. 执行成功，会显示&quot;this is ecsX&quot;
",""
"436749	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）/访问控制(#401942)","v2-访问控制 > 访问控制功能可用性验证-协议为HTTP > 验证访问控制为白名单的场景","1.参照用例：http://pm.mysugoncloud.com:82/testcase-view-436746.html 创建http监听器，注意添加资源池成员时，可以只添加ecs2和ecs3，ecs1不要添加进资源池成员
2.预置ip地址组ip_group1，其成员包括ecs0的ip地址
注：该用例是针对lb基础版-v2实例
","1. 按前置条件中的说明创建http监听器，并添加监听器成员，并在各real server上开启web服务
2. 在lb详情页->监听器tab下->点击监听器名称，进入监听器详情tab
3. 点击访问控制的编辑按钮，在修改页面配置访问控制
3.1. 启用访问控制
3.2. 访问控制：白名单
3.3. ip地址组：选择前置条件2中的ip地址组ip_group1
4. 点击确定按钮
5. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
6. 登录ecs1的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
7. 进入ip地址组模块，点击ip_group1名称进入详情，添加ecs1的ip地址到此地址组的成员中
8. 再次执行步骤6
9. 进入ip地址组模块，点击ip_group1名称进入详情，删除ecs1的ip地址
10. 再次执行步骤6
11. 在lb详情页->监听器tab下->点击监听器名称，进入监听器详情tab
12. 点击访问控制的编辑按钮，在修改页面配置访问控制，修改为允许所有ip访问
13. 登录ecs0、ecs1的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
","1. 可以正常创建http监听器，并且web服务可以正常开启
2. 监听器详情tab可以正常打开
3. 
3.1. 默认是关闭状态，可以点击打开
3.2. 可以选择到白名单选项
3.3. 可以选择该ip地址组
4. 可以开启访问控制，详情中访问控制信息均正确无误
5. 执行成功，会显示&quot;this is ecsX&quot;
6. 请求不成功
7. 可以添加成功，列表显示ecs1、ecs0的ip地址
8. 执行成功，会显示&quot;this is ecsX&quot;
9. 可以删除成功，列表只显示ecs0的ip地址
10. 请求不成功
11. 监听器详情tab可以正常打开
12. 修改成功，详情中访问控制信息均正确无误
13. 都会执行成功，会显示&quot;this is ecsX&quot;
",""
"436756	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","v2-lbv1 > 对等连接 > http结合转发规则","1.创建两个vpc，如vpc1、vpc2
2.每个vpc下各创建两台虚机ecs1、ecs2、ecs3、ecs4
3.参考用例http://pm.mysugoncloud.com:82/testcase-view-436746.html，在vpc1下创建http监听器，并添加虚机ecs1、ecs2作为默认资源池的Real-Server（ecs1和ecs2），创建监听器时，注意打开健康检查，参数值保持默认即可
4.确认在ecs1、2、3上，均创建了/root/test/index.html文件，并在7070端口上开启了web server，操作步骤详见http://pm.mysugoncloud.com:82/testcase-view-436746.html中的步骤5及子步骤。
注：本用例是针对lb基础版v2实例","1. 进入负载均衡模块，依次点击：产品与服务->网络->负载均衡SLB
2. 在lbv1列表页，点击预置的lb实例名称，进入详情，选择监听器tab，点击监听器名称，选择资源池tab，打开Real-Server列表
3. 点击新建，选择ecs3作为Real-Server
4. 进入弹性云服务器模块，登录ecs4的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:7070/index.html
5. 进入对等连接模块，菜单点击顺序：产品与服务->对等连接，点击新建按钮
6. 创建对等连接，名称按常规输入即可，本端vpc和对端vpc选择预置条件中的vpc1和vpc2(如这两个vpc已经创建对等连接，则可以跳过此步)
7. 进入vpc模块，左侧导航点击虚拟私有云，列表页点击vpc1，进入其详情
8. 选择路由表tab，点击新建按钮，配置到vpc2的自定义路由（如已经添加过，可跳过此步）
8.1. ip版本：ipv4
8.2. 目的地址：vpc2的cidr
8.3. 下一跳类型：对等连接
8.4. 下一跳：选择步骤5创建的对等连接
8.5. 点击确定
9. 重复步骤7及子步骤，配置vpc2到vpc1的自定义路由（如已经添加过，可跳过此步）
10. 进入默认资源池，在lb详情页->监听器tab下->点击监听器名称->选择资源池tab
11. 从默认资源池中删除掉前置条件中添加的两个Real-Server中的一个，如删除ecs2
12. 返回资源池列表页，创建新的资源池backend_2
12.1. 算法：源ip
12.2. 会话保持：禁用
12.3. 健康检查器：启用   http协议  HEAD  /index.html
12.4. 其它信息保持默认值，点击确定提交
13. 将步骤11删除的Real-Server即ecs2添加为新资源池的成员，同时添加另一个成员ecs3
14. 进入转发规则页面，在lb详情页->监听器tab下->点击监听器名称->选择转发规则tab
15. 点击插入新规则按钮，创建新转发规则
15.1. 规则名称：test_domain
15.2. 条件：域名 精确匹配相等
15.3. 域名：1example.com
15.4. 转发至：backend_2
16. 点击保存按钮
17. 进入弹性云服务器模块，登录ecs4的vnc窗口，修改客户端的host配置文件
17.1. 执行命令：
echo &quot;$lb_vip 1example.com example.com1&quot; >> /etc/hosts
注意替换变量lb_vip
17.2. 执行命令：cat /etc/hosts
18. 从ecs4请求此lb，执行命令：
18.1. curl http://1example.com:7070
18.2. curl http://example.com1:7070
","1. 可以正常进入负载均衡模块，lbv1列表可以正常显示
2. 各Real-Server状态正常，资源状态为运行中
3. 无法选择到，列表不显示ecs3
4. 无法正常访问
5. 对等连接创建页可以正常打开，页面布局合理
6. 对等连接创建成功，可以在列表中查看到
7. vpc1的详情页可以正常打开
8. 
8.1. 可以正常选择
8.2. 可以正常输入
8.3. 可以正常选择
8.4. 可以正常选择
8.5. 可以正确创建出自定义路由，在自定义路由列表可以查看到
9. 配置成功
10. 显示默认资源池为backend
11. Real-Server删除成功
12. 
12.1. 选择成功
12.2. 可以正常禁用
12.3. 健康检查配置成功
12.4. 可以正常提交
13. 可以正常添加
14. 可以正常进入转发规则列表页面
15. 
15.1. 设置成功
15.2. 设置成功
15.3. 设置成功
15.4. 设置成功
16. 新规则创建成功，可以在列表看到新创建的规则，信息与输入的一致
17. 
17.1. 配置文件修改成功
17.2. 可以查看到刚刚追加的记录
18. 
18.1. 进入资源池backend_2，显示&quot;this is ecsX&quot;，多次执行在两个Real-Server之间切换
18.2. 进入默认资源池，显示&quot;this is ecs1&quot;
",""
"436766	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","v2-转发规则 > 转发规则可用性验证-监听器协议为HTTP > 验证条件为URL路径","1.已经预置vpc，如vpc1，并在vpc下创建五台虚机，分别为ecs0、ecs1、ecs2、ecs3、ecs4
2.在vpc1下，预置负载均衡(基础版)实例lb1
注：本用例是针对lb基础版v2实例
3.监听器参数
监听器名称：http_7070
描述：1234567890edwqWDWQ中文~
协议：HTTP
协议端口：7070
资源池名称：backend_1
负载调度算法：加权轮询
其它字段保持默认值即可，如不开启会话保持、不开启健康检查等","1. 进入负载均衡模块，依次点击：产品与服务->网络->负载均衡SLB
2. 在lbv1列表页，点击预置的lb实例名称，进入详情，选择监听器tab
3. 点击新建按钮，按前置条件3中的参数，创建HTTP监听器
4. 在lb详情页->监听器tab下->点击监听器名称->选择资源池tab
5. 点击新建按钮，创建资源池backend_2233
5.1. 算法：轮询
5.2. 会话保持：激活
5.3. 类型：SOURCE_IP
5.4. 健康检查器：激活
5.5. 类型：http
5.6. https方法：HEAD
5.7. url路径：/index.html
5.8. 其它信息保持默认值，点击确定提交
6. 点击资源池backend_2233名称，进入资源池详情
7. 添加前置条件中的ecs2、ecs3为该资源池成员
8. 返回资源池列表页，再次创建资源池backend_44，步骤与上面的步骤5类似
8.1. 算法：源ip
8.2. 会话保持：禁用
8.3. 健康检查器：禁用
8.4. 其它信息保持默认值，点击确定提交
9. 点击资源池backend_44名称，进入资源池详情
10. 添加前置条件中的ecs4为该资源池成员
11. 点击资源池backend名称，进入资源池详情
12. 添加前置条件中的ecs1为该资源池成员
13. 进入弹性云服务器模块，分别登录ecs1、2、3、4的vnc窗口，执行如下操作
13.1. 创建测试目录(如已执行过，则可跳过此步):
cd /root
mkdir test
13.2. 创建测试文件(如已执行过，则可跳过此步)，以ecs1为例：
cd test/
echo &quot;this is ecs1&quot; >> index.html
其它虚机注意修改&quot;this is ecs后的数字标识，四台虚机都需要执行
13.3. vnc登录ecs2、3，执行命令：
cd /root/test;
cp index.html index2233.html
13.4. vnc登录ecs4，执行命令：
cd /root/test;
cp index.html index44.html
13.5. 启动web server，执行命令：
python3 -m http.server 7070
14. 在lb详情页->监听器tab下->点击监听器名称->选择转发规则tab
15. 点击插入新规则按钮
15.1. 规则名称：2233
15.2. 条件：URL路径 包含 2233
15.3. 转发至：backend_2233
15.4. 点击保存
16. 再次点击插入新规则按钮
16.1. 规则名称：444
16.2. 条件：URL路径 包含 444
16.3. 转发至：backend_444
16.4. 点击保存
17. 至此准备工作完成，登录ecs0的vnc窗口，请求此lb实例，执行命令：
17.1. curl http://$lb_vip:7070/index.html
17.2. curl http://$lb_vip:7070/index2233.html
17.3. curl http://$lb_vip:7070/index44.html
18. 在转发规则列表页，拖拽下面44的规则至上面
19. 点击保存优先级按钮
20. 刷新页面，再次进入转发规则列表页，查看转发规则
","1. 可以正常进入负载均衡模块，lbv1列表可以正常显示
2. 详情页可以正常显示
3. 创建监听器成功并提示信息，监听器详情页显示信息与新建数据一致
4. 显示默认资源池为backend
5. 
5.1. 设置成功
5.2. 设置成功
5.3. 设置成功
5.4. 设置成功
5.5. 设置成功
5.6. 设置成功
5.7. 可以正常输入
5.8. 可以正常设置，资源池创建成功
6. 资源池详情可以正常打开
7. 资源池成员添加成功
8. 
8.1. 设置成功
8.2. 设置成功
8.3. 设置成功
8.4. 可以正常设置，资源池创建成功
9. 资源池详情可以正常打开
10. 资源池成员添加成功
11. 资源池详情可以正常打开
12. 资源池成员添加成功
13. 
13.1. 目录创建成功
13.2. 文件创建成功
13.3. 文件创建成功
13.4. 文件创建成功
13.5. web服务启动成功
14. 可以正常进入转发规则列表页面
15. 
15.1. 输入成功
15.2. 可以正常设置
15.3. 可以选择到此资源池
15.4. 可以正常保存新转发规则
16. 
16.1. 输入成功
16.2. 可以正常设置
16.3. 可以选择到此资源池
16.4. 可以正常保存新转发规则
17. 
17.1. 执行成功，会显示&quot;this is ecs1&quot;
17.2. 执行成功，会显示&quot;this is ecs2&quot;或&quot;this is ecs2&quot;，因开启了会话保持，连续多执行几次，显示的内容应该保持一致，不会切换
17.3. 执行成功，会显示&quot;this is ecs3&quot;
18. 可以正常拖拽
19. 提示保存成功
20. 按刚才调整之后的规则顺序显示
",""
"436767	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）/转发规则(#401943)","v2-转发规则 > 转发规则可用性验证-监听器协议为HTTP > 验证条件为域名","该用例的执行依赖此用例：http://pm.mysugoncloud.com:82/testcase-view-436766.html
执行前，请先执行436766用例
注：本用例是针对lb基础版v2实例","1. 按前置条件描述，先执行436766用例
2. 进入转发规则页面，在lb详情页->监听器tab下->点击监听器名称->选择转发规则tab
3. 删除之前创建的所有转发规则
4. 点击插入新规则按钮，创建新转发规则
4.1. 规则名称：test_domain
4.2. 条件：域名 精确匹配相等
4.3. 域名：1example.com
4.4. 转发至：backend_44
5. 点击保存按钮
6. 进入弹性云服务器模块，登录ecs0的vnc窗口，修改客户端的host配置文件
6.1. 执行命令：
echo &quot;$lb_vip 1example.com example.com1&quot; >> /etc/hosts
注意替换变量lb_vip
6.2. 执行命令：cat /etc/hosts
7. 从ecs0请求此lb，执行命令：
7.1. curl http://1example.com:7070
7.2. curl http://example.com1:7070
8. 修改步骤4及子步骤中的转发规则，动作类型选择包含、域名输入example.com
9. 在client即ecs0上，执行以下命令访问LB：
curl http://1example.com:7070
10. 在ecs0上，执行以下命令访问LB：
curl http://example.com1:7070
","1. 该条用例可以正常执行，可以正常创建资源池
2. 可以正常进入转发规则列表页面
3. 转发规则可以正常删除
4. 
4.1. 设置成功
4.2. 设置成功
4.3. 设置成功
4.4. 设置成功
5. 新规则创建成功，可以在列表看到新创建的规则，信息与输入的一致
6. 
6.1. 配置文件修改成功
6.2. 可以查看到刚刚追加的记录
7. 
7.1. 请求成功，返回&quot;this is ecs4&quot;
7.2. 请求失败
8. 转发规则修改成功
9. 请求成功，返回&quot;this is ecs4&quot;
10. 请求成功，返回&quot;this is ecs4&quot;
",""
"436770	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","v2-健康检查器-HTTP基本功能验证","用例执行依赖：http://pm.mysugoncloud.com:82/testcase-view-436746.html
注：本用例是针对lb基础版v2实例
通过用例436746创建lb基础版v2实例、http监听器，注意创建时开启健康检查：
1.类型：HTTP
2.http方法：GET
3.url地址：/index.html
健康检查其它参数保持默认值。
监听器其它信息保持与用例4272预置条件一致即可","1. 按前置条件中的说明创建HTTP监听器，并添加监听器成员，并在各real server上开启web服务
2. 在lb详情页->监听器tab下->点击监听器名称->选择资源池tab，进入资源池详情
3. 确认各Real-Server状态
4. 进入弹性云服务器模块，分别登录ecs1、2的vnc窗口，停掉其web服务
4.1. 执行ctrl c命令，退出python的web server服务
5. 在资源池详情页，确认各Real-Server状态
6. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:7070/index.html
7. 再次进入弹性云服务器模块，分别登录ecs1、2的vnc窗口，启动其web服务
7.1. 执行命令：cd /root/test/; python3 -m http.server 7070
8. 在lb详情页->监听器tab下->点击监听器名称->选择资源池tab，进入资源池详情。在资源池详情页，确认各Real-Server状态
9. 资源池详情页，点击健康检查-配置，关闭健康检查
10. 重复执行步骤4.1和步骤5
11. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:7070/index.html
12. 在lb列表页，点击【监听器名称】(注意不是lb实例名称)->资源池名称，进入资源池详情
13. 确认此时健康检查状态
14. 确认各Real-Server状态
15. 点击健康检查-配置，开启健康检查（参数参考考前置条件），稍等2分钟，再次确认各Real-Server状态
16. 再次执行步骤7和步骤7.1
17. 在lb列表页，点击【监听器名称】(注意不是lb实例名称)->资源池名称，进入资源池详情，确认各Real-Server状态
18. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:7070/index.html
","1. 可以正常创建监听器，并且web服务可以正常开启
2. 资源池详情可以正常进入，显示Real-Server列表
3. 因各节点已经开启web服务，所以rs显示运行中状态
4. 
4.1. 可以正常退出
5. 只有ecs3是健康的，状态为运行中
6. 执行成功，会显示&quot;this is ecs3&quot;，多执行几次后，都是显示此提示信息
7. 
7.1. web服务可以正常启动
8. 三个节点均显示为运行中状态
9. 健康检查关闭成功
10. 各Real-Server显示为运行中状态，停掉web服务不影响其健康状态
11. 可以正常请求通
12. 资源池详情可以正常进入，显示Real-Server列表
13. 应该显示为关闭状态
14. 各Real-Server显示为运行中状态，停掉web服务不影响其健康状态
15. 只有ecs3显示为运行中状态，其它两个节点不健康
16. ecs1和ecs2的web 服务启动成功
17. 各节点均为运行中状态
18. 执行成功，会显示&quot;this is ecsX&quot;，多执行几次后，整体符合1：2：2的规律
",""
