用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"4327	",曙光云Stack,/资源中心/网络/负载均衡/负载均衡（基础版）(#826),新建监听器-UDP+源IP基本功能验证,"1.预置vpc1，并在vpc1下创建四台虚机，分别为ecs0、ecs1、ecs2、ecs3
2.在vpc1下，预置负载均衡(基础版)v1版本的实例slbv1
3.在slbv1创建监听器，监听器参数：
监听器名称：udp_5050
描述：1234567890edwqWDWQ中文~
协议：UDP
协议端口：5050
资源池名称：backend_1
负载调度算法：源ip
其它字段保持默认值即可，如不开启会话保持、不开启健康检查等","1. 在slbv1详情页->监听器tab下->点击监听器名称udp_5050->选择资源池tab，进入资源池backend_1详情后，点击创建按钮，选择ecs1、2、3为该资源池的成员，对应端口为5050
2. ssh_vm依次登录ecs1、2、3，启动udp server，执行命令：python /opt/network_tool/UDP_server.py 0.0.0.0 5050
3. ssh_vm登录ecs0的vnc窗口，请求此slbv1实例的网络IP 即vip，执行命令：python /opt/network_tool/UDP_client $slbv1_vip 5050
4. 多次重复发送内容，注意内容需要加引号，如&quot;111&quot;，输入后回车发送
5. 在负载均衡列表页，针对此slbv1实例，点击其操作栏绑定公网ip，绑定公网ip
6 本地客户端通过fip访问负载均衡，或者使用某云外linux服务器，通过外网请求此slbv1实例 的公网IP即fip，执行命令：
python /opt/network_tool/UDP_client $slbv1_fip 5050
7.多次重复发送内容，注意内容需要加引号，如&quot;aaa&quot;，输入后回车发送","1. 新建成员成功，资源池列表的实例名称、端口号、资源状态信息与新建资源数据一致，ecs1、ecs2、ecs3的资源状态为运行中
2. 服务启动成功，提示&quot;Bind UPD on 5050 ......&quot;最长60s内5050端口被监听
3. 执行命令后，进入待输入状态，提示&quot;input msg：&quot;
4. 可以正常发送出去，在ecs1、2、3的某个节点可以查看到发送的内容，多次重复均发送至同一个real server
5. fip绑定成功，可以在列表显示绑定的公网ip地址
6. 执行命令后，进入待输入状态，提示&quot;input msg：&quot;
7. 可以正常发送出去，在ecs1、2、3的某个节点可以查看到发送的内容,多次重复均发送至同一个real server
","1. 进入slbv1详情的监听器tab，进入udp_5050的资源池tab，进入资源池backend_1详情页，将 ecs1/ecs2/ecs3 从 资源池 中移除
2. 删除监听器udp_5050
3. 删除负载均衡实例slbv1
4. 删除虚机 ecs0~ecs3（由 vm fixture teardown 自动回收）
5. 删除 VPC vpc1（由 vpc fixture teardown 自动回收）",是
"4932	",曙光云Stack,/资源中心/网络/负载均衡/负载均衡（基础版）(#826),健康检查器-UDP基本功能验证,"1.预置vpc1，并在vpc1下创建四台虚机，分别为ecs0、ecs1、ecs2、ecs3
2.在vpc1下，预置负载均衡(基础版)v1版本的实例slbv1
3.在slbv1创建监听器，监听器参数：
监听器名称：udp_5050
描述：1234567890edwqWDWQ中文~
协议：UDP
协议端口：5050
资源池名称：backend_1
负载调度算法：源ip
健康检查: 开启
其它字段保持默认值即可，如不开启会话保持等","1.ssh_vm依次登录ecs1、2、3，启动udp server，执行命令：python /opt/network_tool/UDP_server.py 0.0.0.0 5050
2. 在slbv1详情页->监听器tab下->点击监听器名称udp_5050->选择资源池tab，进入资源池backend_1详情后，点击创建按钮，选择ecs1、2、3为该资源池的成员，对应端口为5050
3. ssh_vm依次登录ecs1、2，停掉其udp server服务
4. 进入监听器udp_5050的backend_1资源池详情页，确认各Real-Server状态
5. ssh_vm连接ecs0，请求此slbv1实例的网络IP 即vip，执行命令：
python /opt/network_tool/UDP_client $slbv1_vip 5050
6.输入发送内容，注意内容需要加引号，如&quot;111&quot;，输入后回车发送
7. ssh_vm依次登录ecs1、2、3，启动udp server，执行命令：
python /opt/network_tool/UDP_server.py 0.0.0.0 5050
8. 进入监听器udp_5050的backend_1资源池详情页，确认各Real-Server状态
9. 在backend_1资源池详情页，点击健康检查-配置，关闭健康检查
10. 重复执行步骤3和步骤4
11. 在backend_1资源池详情页， 确认此时健康检查状态、确认各Real-Server状态
12. 在backend_1资源池详情页，点击健康检查-配置，开启健康检查
（1）.类型：UDP
（2）.健康检查请求以及返回结果保持为空，最大尝试次数等其它信息保持默认值
13.  重复执行步骤7
14. 在backend_1资源池详情页，确认各Real-Server状态
15. 重复步骤5
16.多次重复步骤6。如需要退出，请输入&quot;quit&quot;
","1. 服务启动成功，提示&quot;Bind UPD on 5050 ......&quot;最长60s内5050端口被监听
2.新建成员成功，资源池列表的实例名称、端口号、资源状态信息与新建资源数据一致，ecs1、ecs2、ecs3的资源状态为运行中
3. 可以正常退出
4. ecs3的资源状态为运行中，ecs1、ecs2的资源状态在最长120s内变为离线
5. 执行命令后，进入待输入状态，提示&quot;input msg：&quot;
6.可以正常发送出去，在ecs3可以查看到发送的内容
7. 服务启动成功，提示&quot;Bind UPD on 5050 ......&quot;最长60s内5050端口被监听
8. ecs3的资源状态为运行中，ecs1、ecs2的资源状态在最长120s内变为运行中
9. 健康检查关闭成功
10. 各Real-Server的资源状态显示为运行中
11. 资源池详情健康检查状态为关闭、各Real-Server的资源状态为运行中
12. 只有ecs3显示为运行中状态，ecs1、ecs2的资源状态在最长120s内变为离线
13. 服务启动成功，提示&quot;Bind UPD on 5050 ......&quot;最长60s内5050端口被监听
14. ecs3的资源状态为运行中，ecs1、ecs2的资源状态在最长120s内变为运行中
15. 执行命令后，进入待输入状态，提示&quot;input msg：&quot;
16. 可以正常发送出去，在ecs1、2、3的某个节点可以查看到发送的内容，多次重复均发送至同一个real server
","1. 进入slbv1详情的监听器tab，进入udp_5050的资源池tab，进入资源池backend_1详情页，将 ecs1/ecs2/ecs3 从 资源池 中移除
2. 删除监听器udp_5050
3. 删除负载均衡实例slbv1
4. 删除虚机 ecs0~ecs3（由 vm fixture teardown 自动回收）
5. 删除 VPC vpc1（由 vpc fixture teardown 自动回收）",是
"410797	",曙光云Stack,/资源中心/网络/负载均衡/负载均衡（基础版）(#826),访问控制 > 访问控制功能可用性验证-协议为UDP > 验证访问控制为黑名单的场景,"1.预置vpc1，并在vpc1下创建四台虚机，分别为ecs0、ecs1、ecs2、ecs3
2.在vpc1下，预置负载均衡(基础版)v1版本的实例slbv1
3.在slbv1创建监听器，监听器参数：
监听器名称：udp_5050
描述：1234567890edwqWDWQ中文~
协议：UDP
协议端口：5050
资源池名称：backend_1
负载调度算法：源ip
其它字段保持默认值即可，如不开启会话保持、不开启健康检查等
4.预置ip地址组ip_group1，其成员包括ecs0的ip地址","1.进入IP地址组子菜单，在预置的ip_group1中添加ecs0 的ip地址（不是mfip）
2.ssh_vm依次登录ecs2、3，启动udp server，执行命令：python /opt/network_tool/UDP_server.py 0.0.0.0 5050
3. 进入slb列表，slbv1详情页->监听器tab下->点击监听器名称udp_5050->选择资源池tab，进入资源池backend_1详情后，点击创建按钮，选择ecs2、3为该资源池的成员，对应端口为5050
4. 在slbv1详情页->监听器tab下，点击访问控制的编辑按钮，在修改页面配置访问控制
4.1. 启用访问控制
4.2. 访问控制：黑名单
4.3. ip地址组：选择已预置且添加ecs0 ip的ip_group1
5. ssh_vm连接ecs0，请求此slbv1实例的网络I P即vip，执行命令：
python /opt/network_tool/UDP_client $slbv1_vip 5050
输入发送内容，注意内容需要加引号，如&quot;111&quot;，输入后回车发送
6. ssh_vm连接ecs1，请求此slbv1实例的网络I P即vip，执行命令：
python /opt/network_tool/UDP_client $lb_vip 5050
输入发送内容，注意内容需要加引号，如&quot;111&quot;，输入后回车发送
7. 进入IP地址组子菜单，在预置的ip_group1中添加ecs1 的ip地址，
8. 再次执行步骤6
9. 进入IP地址组子菜单，在预置的ip_group1中移除ecs1 的ip地址
10. 再次执行步骤6
11. 进入slb列表，在slbv1详情页->监听器tab下，点击访问控制的编辑按钮，在修改页面配置访问控制，修改为允许所有ip访问
12. 登录ecs0、ecs1的vnc窗口，请求此lb实例，执行命令：
python /opt/network_tool/UDP_client $lb_vip 5050
输入发送内容，注意内容需要加引号，如&quot;111&quot;，输入后回车发送
","1.ip_group1 成功添加ecs0 的ip 
2. 服务启动成功，提示&quot;Bind UPD on 5050 ......&quot;最长60s内5050端口被监听
3.新建成员成功，资源池列表的实例名称、端口号、资源状态信息与新建资源数据一致，ecs1、ecs2、ecs3的资源状态为运行中
4. 访问控制 编辑成功
5. 请求不成功，消息无法正常发送
6. 执行成功，在Real-Server端可以收到发送的消息
7. 可以添加成功，列表显示ecs1、ecs0的ip地址
8. 请求不成功
9. 可以删除成功，列表只显示ecs0的ip地址
10. 执行成功，在Real-Server端可以收到发送的消息
11. 修改成功，详情中访问控制信息均正确无误
12. 执行成功，在Real-Server端可以收到发送的消息
","1. 进入slbv1详情的监听器tab，进入udp_5050的资源池tab，进入资源池backend_1详情页，将 ecs2/ecs3 从 资源池 中移除
2. 删除监听器udp_5050
3. 删除负载均衡实例slbv1
4. 删除ip_group1
5. 删除虚机 ecs0~ecs3（由 vm fixture teardown 自动回收）
6. 删除 VPC vpc1（由 vpc fixture teardown 自动回收）",是
"411010	",曙光云Stack,/资源中心/网络/负载均衡/负载均衡（基础版）(#826),访问控制 > 访问控制功能可用性验证-协议为UDP > 验证访问控制为黑名单的场景-外网LB,"1.预置vpc1，并在vpc1下创建四台虚机，分别为ecs0、ecs1、ecs2、ecs3
2.在vpc1下，预置负载均衡(基础版)v1版本的实例slbv1
3.在slbv1创建监听器，监听器参数：
监听器名称：udp_5050
描述：1234567890edwqWDWQ中文~
协议：UDP
协议端口：5050
资源池名称：backend_1
负载调度算法：源ip
其它字段保持默认值即可，如不开启会话保持、不开启健康检查等
4.预置ip地址组ip_group1，其成员包括ecs0的ip地址","1.进入IP地址组子菜单，在预置的ip_group1中添加ecs0 的ip地址（不是mfip）
2.ssh_vm依次登录ecs2、3，启动udp server，执行命令：python /opt/network_tool/UDP_server.py 0.0.0.0 5050
3. 进入slb列表，slbv1详情页->监听器tab下->点击监听器名称udp_5050->选择资源池tab，进入资源池backend_1详情后，点击创建按钮，选择ecs2、3为该资源池的成员，对应端口为5050
4. 在slbv1详情页->监听器tab下，点击访问控制的编辑按钮，在修改页面配置访问控制
4.1. 启用访问控制
4.2. 访问控制：黑名单
4.3. ip地址组：选择已预置且添加ecs0 ip的ip_group1
5. ssh_vm连接ecs0，请求此slbv1实例的网络I P即vip，执行命令：
python /opt/network_tool/UDP_client $slbv1_vip 5050
输入发送内容，注意内容需要加引号，如&quot;111&quot;，输入后回车发送
6. 在slb列表页，点击实例名称进入详情页，选择详情tab，点击绑定公网IPv4，绑定公网ip
7. 本地控制台(或者其它linux服务器)请求此lb实例，执行命令：
python ./UDP_client $lb_fip 5050
输入发送内容，注意内容需要加引号，如&quot;111&quot;，输入后回车发送
8. 进入IP地址组子菜单，在预置的ip_group1中添加本机ip地址
9. 再次执行步骤7
","1.ip_group1 成功添加ecs0 的ip 
2. 服务启动成功，提示&quot;Bind UPD on 5050 ......&quot;最长60s内5050端口被监听
3.新建成员成功，资源池列表的实例名称、端口号、资源状态信息与新建资源数据一致，ecs1、ecs2、ecs3的资源状态为运行中
4. 访问控制 编辑成功
5. 请求不成功，消息无法正常发送
6. 可以正常绑定公网ip地址，准确回显公网IP
7. 执行成功，在Real-Server端可以收到发送的消息
8. 可以添加成功，列表显示本机ip地址
9. 请求被拒绝
","1. 进入slbv1详情的监听器tab，进入udp_5050的资源池tab，进入资源池backend_1详情页，将 ecs2/ecs3 从 资源池 中移除
2. 删除监听器udp_5050
3. 删除负载均衡实例slbv1
4. 删除ip_group1
5. 删除虚机 ecs0~ecs3（由 vm fixture teardown 自动回收）
6. 删除 VPC vpc1（由 vpc fixture teardown 自动回收）",是
