"用例编号","所属产品","所属模块","用例名称","前置条件","步骤","预期"
"3514	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","新建监听器-TCP+轮询基本功能验证","1.已经预置vpc，如vpc1，并在vpc下创建四台虚机，分别为ecs0、ecs1、ecs2、ecs3
2.在vpc1下，预置负载均衡(基础版)实例lb1
3.监听器参数
监听器名称：tcp_8080
描述：1234567890edwqWDWQ中文~
协议：TCP
协议端口：8080
资源池名称：backend_1
负载调度算法：轮询
其它字段保持默认值即可，如不开启会话保持、不开启健康检查等","1. 进入负载均衡模块，依次点击：产品与服务->网络->负载均衡SLB
2. 在lbv1列表页，点击预置的lb实例名称，进入详情，选择监听器tab
3. 点击新建按钮，按前置条件3中的参数，创建TCP监听器
4. 在lb详情页->监听器tab下->点击监听器名称->选择资源池tab，进入资源池详情后，点击创建按钮，选择ecs1、2、3为该资源池的成员，对应端口为8080
5. 进入弹性云服务器模块，分别登录ecs1、2、3的vnc窗口，执行如下操作
5.1. 创建测试目录:
cd /root
mkdir test
5.2. 创建测试文件，以ecs1为例：
cd test/
echo &quot;this is ecs1&quot; >> index.html
其它虚机注意修改&quot;this is ecs后的数字标识
5.3. 启动web server，执行命令：
python3 -m http.server 8080
6. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
7. 在负载均衡列表页，针对此lb实例，点击其操作栏的绑定公网ip按钮，绑定公网ip
8. 本地客户端通过fip访问负载均衡，执行命令：curl http://$lb_fip:8080/index.html
","1. 可以正常进入负载均衡模块，lbv1列表可以正常显示
2. 详情页可以正常显示
3. 创建监听器成功并提示信息，监听器详情页显示信息与新建数据一致
4. 新建成员成功，资源池列表显示信息与新建资源数据一致
5. 
5.1. 目录创建成功
5.2. 文件创建成功
5.3. web服务启动成功
6. 执行成功，会显示&quot;this is ecsX&quot;，多执行几次后，整体符合1：1：1的规律
7. fip绑定成功，可以在列表显示绑定的公网ip地址
8. 执行成功，会显示&quot;this is ecsX&quot;，多执行几次后，整体符合1：1：1的规律
",""
"4818	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","健康检查器-TCP基本功能验证","用例执行依赖：http://pm.mysugoncloud.com:82/testcase-view-3514.html
通过用例3514创建lbv1实例、tcp监听器，注意创建时【开启健康检查，类型选择TCP，其它参数保持默认值】，其它信息保持与用例3514预置条件一致即可","1. 按前置条件中的说明创建TCP监听器，并添加监听器成员，并在各real server上开启web服务
2. 在lb详情页->监听器tab下->点击监听器名称->选择资源池tab，进入资源池详情
3. 确认各Real-Server状态
4. 进入弹性云服务器模块，分别登录ecs1、2的vnc窗口，停掉其web服务
4.1. 执行ctrl c命令，退出python的web server服务
5. 在资源池详情页，确认各Real-Server状态
6. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
7. 再次进入弹性云服务器模块，分别登录ecs1、2的vnc窗口，启动其web服务
7.1. 执行命令：cd /root/test/; python3 -m http.server 8080
8. 在lb详情页->监听器tab下->点击监听器名称->选择资源池tab，进入资源池详情。在资源池详情页，确认各Real-Server状态
9. 进入资源池详情页，点击健康检查-配置，关闭健康检查
10. 重复执行步骤4.1和步骤5
11. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
12. 在lb列表页，点击【监听器名称】(注意不是lb实例名称)->资源池名称，进入资源池详情
13. 确认此时健康检查状态
14. 确认各Real-Server状态
15. 点击健康检查-配置，开启健康检查，类型选择TCP，其它参数保持默认值，稍等2分钟，再次确认各Real-Server状态
16. 再次执行步骤7和步骤7.1
17. 在lb列表页，点击【监听器名称】(注意不是lb实例名称)->资源池名称，进入资源池详情，确认各Real-Server状态
18. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
","1. 可以正常创建TCP监听器，并且web服务可以正常开启
2. 资源池详情可以正常进入，显示Real-Server列表
3. 因各节点已经开启web服务，所以rs显示运行中状态
4. 
4.1. 可以正常退出
5. 只有ecs3是健康的，状态为运行中
6. 执行成功，会显示&quot;this is ecs3&quot;，多执行几次后，都是显示此提示信息
7. 
7.1. web服务可以正常启动
8. 三个节点均显示为运行中状态
9. 健康检查关闭成功
10. 各Real-Server显示为运行中状态，停掉web服务不影响其健康状态
11. 请求到ecs3时，可以正常访问通，请求到ecs1或ecs2时，访问不通
12. 资源池详情可以正常进入，显示Real-Server列表
13. 应该显示为关闭状态
14. 各Real-Server显示为运行中状态，停掉web服务不影响其健康状态
15. 只有ecs3显示为运行中状态，其它两个节点不健康
16. ecs1和ecs2的web 服务启动成功
17. 各节点均为运行中状态
18. 执行成功，会显示&quot;this is ecsX&quot;，多执行几次后，整体符合1：1：1的规律
",""
"410596	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）/访问控制(#401942)","访问控制 > 访问控制功能可用性验证-协议为TCP > 验证访问控制为白名单的场景","1.参照用例：http://pm.mysugoncloud.com:82/testcase-view-3514.html 创建tcp监听器，注意添加资源池成员时，可以只添加ecs2和ecs3，ecs1不要添加进资源池成员
2.预置ip地址组ip_group1，其成员包括ecs0的ip地址
","1. 按前置条件中的说明创建TCP监听器，并添加监听器成员，并在各real server上开启web服务
2. 在lb详情页->监听器tab下->点击监听器名称，进入监听器详情tab
3. 点击访问控制的编辑按钮，在修改页面配置访问控制
3.1. 启用访问控制
3.2. 访问控制：白名单
3.3. ip地址组：选择前置条件2中的ip地址组ip_group1
4. 点击确定按钮
5. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
6. 登录ecs1的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
7. 进入ip地址组模块，点击ip_group1名称进入详情，添加ecs1的ip地址到此地址组的成员中
8. 再次执行步骤6
9. 进入ip地址组模块，点击ip_group1名称进入详情，删除ecs1的ip地址
10. 再次执行步骤6
11. 在lb详情页->监听器tab下->点击监听器名称，进入监听器详情tab
12. 点击访问控制的编辑按钮，在修改页面配置访问控制，修改为允许所有ip访问
13. 登录ecs0、ecs1的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
","1. 可以正常创建TCP监听器，并且web服务可以正常开启
2. 监听器详情tab可以正常打开
3. 
3.1. 默认是关闭状态，可以点击打开
3.2. 可以选择到白名单选项
3.3. 可以选择该ip地址组
4. 可以开启访问控制，详情中访问控制信息均正确无误
5. 执行成功，会显示&quot;this is ecsX&quot;
6. 请求不成功
7. 可以添加成功，列表显示ecs1、ecs0的ip地址
8. 执行成功，会显示&quot;this is ecsX&quot;
9. 可以删除成功，列表只显示ecs0的ip地址
10. 请求不成功
11. 监听器详情tab可以正常打开
12. 修改成功，详情中访问控制信息均正确无误
13. 都会执行成功，会显示&quot;this is ecsX&quot;
",""
"411009	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","访问控制 > 访问控制功能可用性验证-协议为TCP > 验证访问控制为白名单的场景-外网LB","1.参照用例：http://pm.mysugoncloud.com:82/testcase-view-3514.html 创建tcp监听器，注意添加资源池成员时，可以只添加ecs2和ecs3，ecs1不要添加进资源池成员
2.预置ip地址组ip_group1，其成员包括ecs0的ip地址
","1. 按前置条件中的说明创建TCP监听器，并添加监听器成员，并在各real server上开启web服务
2. 在lb详情页->监听器tab下->点击监听器名称，进入监听器详情tab
3. 点击访问控制的编辑按钮，在修改页面配置访问控制
3.1. 启用访问控制
3.2. 访问控制：白名单
3.3. ip地址组：选择前置条件2中的ip地址组ip_group1
4. 点击确定按钮
5. 进入弹性云服务器模块，登录ecs0的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
6. 在lb列表页，点击实例操作栏对应的绑定公网ip按钮，绑定公网ip
7. 本地控制台（或其它linux服务器）请求此lb实例，执行命令：
curl http://$lb_fip:8080/index.html
8. 进入ip地址组模块，点击ip_group1名称进入详情，添加本机（或其它linux服务器）ip地址到此地址组的成员中
9. 再次执行步骤7
","1. 可以正常创建TCP监听器，并且web服务可以正常开启
2. 监听器详情tab可以正常打开
3. 
3.1. 默认是关闭状态，可以点击打开
3.2. 可以选择到白名单选项
3.3. 可以选择该ip地址组
4. 可以开启访问控制，详情中访问控制信息均正确无误
5. 执行成功，会显示&quot;this is ecsX&quot;
6. 可以正常绑定公网ip地址
7. 请求不成功
8. 可以添加成功，列表显示本机ip地址
9. 执行成功，会显示&quot;this is ecsX&quot;
",""
"414218	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","lb基础版 > lb监控 > L4LB > tcp监听器正向功能验证","1.已经预置好lbv1实例，以及tcp监听器，并添加虚机为real server，具体操作步骤，可参考用例：
http://pm.mysugoncloud.com:82/testcase-view-3514.html
注：用例中的步骤是用curl来访问tcp监听器，主要用于查看连接数的变化，如果要将流量打上去，可以使用iperf3
使用示例：
服务器端：iperf3 -s -p $port
客户端：iperf3 -c $lb_vip -p $port -t 600 -b 0","1. 进入负载均衡模块，依次点击：产品与服务->网络->负载均衡SLB
2. 在lbv1列表页，点击预置lb实例对应行的查看监控按钮
3. 参考前置条件1中用例的步骤，多次访问tcp监听器
4. 查看实例视角下监控曲线变化，切换不同的时间维度和步长
5. 切换至监听器视角，选择对应的tcp监听器，查看监控曲线变化，切换不同的时间维度和步长
6. 进入cms监控-负载均衡基础版监控页面，依次点击：产品与服务->云监控CMS->云服务监控->网络->负载均衡(基础版)
7. 确认列表监控数据的显示
8. 点击左上角时间范围选择按钮，选择不同的时间维度
9. 右上角输入框，输入不同的查询关键字，如某lb实例名称的前半部分、后半部分、中间部分、全部等等输入
10. 点击预置的tcp监听器的名称
11. 重复上述步骤4、5
","1. 可以正常进入负载均衡模块，lbv1列表可以正常显示
2. 进入监控详情页
3. tcp监听器可以正常访问
4. 各图表的曲线可以正常显示，数据值大体符合预期
5. 各图表的曲线可以正常显示，数据值大体符合预期
6. 可以正常进入负载均衡监控页面
7. 各指标值显示正常，数据值大体符合预期
8. 各指标值显示正常，数据值大体符合预期
9. 均可以查询出符合条件的记录
10. 进入监控详情页
11. 各图表的曲线可以正常显示，数据值大体符合预期
",""
"418861	","曙光云Stack","/资源中心/网络/负载均衡/负载均衡（基础版）(#826)","LBv1 > 对等连接 > 正向基本功能验证","1.创建两个vpc，如vpc1、vpc2
2.每个vpc下各创建两台虚机ecs1、ecs2、ecs3、ecs4
3.参考用例http://pm.mysugoncloud.com:82/testcase-view-3514.html，在vpc1下创建tcp监听器，并添加vpc1下的虚机作为Real-Server（ecs1和ecs2），创建监听器时，注意打开健康检查，参数值保持默认即可。","1. 进入负载均衡模块，依次点击：产品与服务->网络->负载均衡SLB
2. 在lbv1列表页，点击预置的lb实例名称，进入详情，选择监听器tab，点击监听器名称，选择资源池tab，打开Real-Server列表
3. 点击新建，选择ecs3作为Real-Server
4. 进入弹性云服务器模块，登录ec4的vnc窗口，请求此lb实例，执行命令：
curl http://$lb_vip:8080/index.html
5. 进入对等连接模块，菜单点击顺序：产品与服务->对等连接，点击新建按钮
6. 创建对等连接，名称按常规输入即可，本端vpc和对端vpc选择预置条件中的vpc1和vpc2
7. 进入vpc模块，左侧导航点击虚拟私有云，列表页点击vpc1，进入其详情
8. 选择路由表tab，点击新建按钮，配置到vpc2的自定义路由
8.1. ip版本：ipv4
8.2. 目的地址：vpc2的cidr
8.3. 下一跳类型：对等连接
8.4. 下一跳：选择步骤5创建的对等连接
8.5. 点击确定
9. 重复步骤7及子步骤，配置vpc2到vpc1的自定义路由
10. 再次执行步骤2、3
11. 进入弹性云服务器模块，登录ecs4的vnc窗口，执行ping命令，ping $ecs1_ip
12. 再次执行步骤4
","1. 可以正常进入负载均衡模块，lbv1列表可以正常显示
2. 各Real-Server状态正常，资源状态为运行中
3. 无法选择到，列表不显示ecs3
4. 无法正常访问
5. 对等连接创建页可以正常打开，页面布局合理
6. 对等连接创建成功，可以在列表中查看到
7. vpc1的详情页可以正常打开
8. 
8.1. 可以正常选择
8.2. 可以正常输入
8.3. 可以正常选择
8.4. 可以正常选择
8.5. 可以正确创建出自定义路由，在自定义路由列表可以查看到
9. 配置成功
10. 可以将ecs3添加为Real-Server，并且状态显示正确
11. 对等连接生效，可以ping通ecs1的虚机ip地址
12. 执行成功，会显示&quot;this is ecsX&quot;
",""
