用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"5921	",曙光云Stack,/资源中心/网络/企业路由器(#1240),企业路由器-HA实例-新建功能验证,,"1.进入企业路由器模块，登录云平台后，依次点击：资源中心->网络->企业路由器
2.在企业路由器列表页，点击新建按钮，按如下要求填写表单信息
2.1. 名称，输入自定义字符串，如er-ha-autotest
2.2. 集群，选择Autotest
2.3. HA选项默认为开启，保持默认值
2.4. 其它字段保持默认值，点击立即创建
3.创建完成后，等待2分钟，等待期间每隔20秒点击一下右上角的刷新按钮
4.等待2分钟后在列表页中，点击新创建的企业路由器名称，进入详情页面
5.SSH登录任意一个控制节点，执行命令：source /root/admin-openrc.sh && scli guest list|grep er-ha-autotest，其中er-autotest根据步骤2.1中实际输入的内容替换","1.可以正常进入企业路由器列表页
2.可以正常弹窗
2.1.可以正常输入
2.2.可以选择主机集群
2.3.可以正常显示，默认值即是打开HA的状态
2.4.新建成功，列表页显示新创建的记录，名称为er-ha-autotest，状态为创建中
3.等待约2分钟后，新增的记录状态变成运行中
4.详情页可以正常打开，基本信息tab页可以正常显示企业路由器的名称，状态字段为运行中，高可用字段为开启
5.后台运行2台弹性云服务器，即命令执行输出为2行记录，状态均为RUNNING
",1.点击列表操作栏的删除按钮,否
"420810	",曙光云Stack,/资源中心/网络/企业路由器(#1240),企业路由器-非HA实例-新建功能验证,,"1.进入企业路由器模块，登录云平台后，依次点击：资源中心->网络->企业路由器
2.在企业路由器列表页，点击新建按钮，按如下要求填写表单信息
2.1. 名称，输入自定义字符串，如er-noha-autotest
2.2. 集群，选择Autotest
2.3. HA选项默认为开启，关闭HA选项
2.4. 其它字段保持默认值，点击立即创建
3.创建完成后，等待2分钟，等待期间每隔20秒点击一下右上角的刷新按钮
4.等待2分钟后在列表页中，点击新创建的企业路由器名称，进入详情页面
5.SSH登录任意一个控制节点，执行命令：source /root/admin-openrc.sh && scli guest list|grep er-noha-autotest，其中er-noha-autotest根据步骤2.1中实际输入的内容替换","1.可以正常进入企业路由器列表页
2.可以正常弹窗
2.1.可以正常输入
2.2.可以选择主机集群
2.3.可以正常显示，默认值即是打开HA的状态
2.4.新建成功，列表页显示新创建的记录，名称为er-noha-autotest，状态为创建中
3.等待约2分钟后，新增的记录状态变成运行中
4.详情页可以正常打开，基本信息tab页可以正常显示企业路由器的名称，状态字段为运行中，高可用字段为关闭
5.后台运行1台弹性云服务器，即命令执行输出为1行记录，状态为RUNNING
",1.点击列表操作栏的删除按钮,否
