用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"412951	",曙光云Stack,/资源中心/网络/企业路由器(#1240),ER > 可用性验证 > HA2HA-ER对等连接生效性验证,"1、预置虚拟私有云er1_vpc1，网段173.3.3.0/24，并在该vpc下预置一台弹性云服务器vm1
2、预置另一虚拟私有云er1_vpc2，网段174.4.4.0/24，并在该vpc下预置一台弹性云服务器vm2
3、预置两个HA类型的企业路由器，名称为er1-ha-autotest和er2-ha-autotest
","1.进入企业路由器模块，登录云平台后，依次点击：资源中心->网络->企业路由器
2.ER列表页，点击前置条件3准备的实例er1-ha-autotest对应操作栏的生成授权码按钮，生成的授权码记为参数er1-code，点击取消按钮
3.返回ER列表页，点击前置条件3准备的实例er2-ha-autotest对应操作栏的生成授权码按钮，生成的授权码记为参数er2-code，点击取消按钮
4.ER列表页，点击er1-ha-autotest对应操作栏的管理连接按钮
5.点击添加连接按钮，按如下内容输入：
5.1 名称，按常规输入，如er1-er2-conn等
5.2 连接类型，选择企业路由器
5.3 授权码，输入步骤3记录的参数er2-code
5.4 其它字段保持默认值，点击确定
6.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
7.返回ER列表页，点击er2-ha-autotest对应操作栏的管理连接按钮
8.点击添加连接按钮，按如下内容输入：
8.1 名称，按常规输入，如er2-er1-conn等
8.2 连接类型，选择企业路由器
8.3 授权码，输入步骤2记录的参数er1-code
8.4 其它字段保持默认值，点击确定
9.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
10.返回ER列表页，点击前置条件3准备的实例er1-ha-autotest对应操作栏的管理路由表按钮
11.点击新建路由表规则按钮，按如下信息输入：
11.1目的地址：输入er1_vpc2的网段：174.4.4.0/24
11.2下一跳类型：选择企业路由器
11.3连接：选择连接er1-er2-conn
11.4下一跳：选择企业路由器er2-ha-autotest
11.5其它字段保持默认值不变，点击确定
12.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
13.返回ER列表页，点击前置条件3准备的实例er2-ha-autotest对应操作栏的管理路由表按钮
14.点击新建路由表规则按钮，按如下信息输入：
14.1目的地址：输入er1-vpc1的网段：173.3.3.0/24
14.2下一跳类型：选择企业路由器
14.3连接：选择连接er2-er1-conn
14.4下一跳：选择企业路由器er1-ha-autotest
14.5其它字段保持默认值不变，点击确定
15.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
16.进入VPC模块，列表点击er1_vpc1进入vpc详情，在路由表tab下添加自定义路由：
版本为ipv4，目的地址为er1_vpc2的网段174.4.4.0/24，下一跳类型为企业路由器，下一跳为前置条件3创建的er实例er1-ha-autotest
17.返回VPC列表页，列表点击er1_vpc2进入vpc详情，在路由表tab下添加自定义路由：
版本为ipv4，目的地址为er1_vpc1的网段173.3.3.0/24，下一跳类型为企业路由器，下一跳为前置条件3创建的er实例er2-ha-autotest
18.ssh_vm连接vm1，执行如下操作：
18.1.在弹性云服务器vm1的后台，执行命令：ping $vm2_ip，其中$vm2_ip为虚机vm2的ip地址，验证是否可以ping通，ping 4次全通，才算ping通；
ping的明细需要打印出来，并输出到日志中
19.ssh_vm连接vm2，执行如下操作：
19.1.在弹性云服务器vm2的后台，执行命令：ping $vm1_ip，其中$vm1_ip为虚机vm1的ip地址，验证是否可以ping通，ping 4次全通，才算ping通；
ping的明细需要打印出来，并输出到日志中","1.可以正常打开企业路由器列表
2.可以正常生成授权码
3.可以正常生成授权码
4.可以正常进入企业路由器详情页-连接tab下
5.添加连接弹窗可以正常打开
5.1可以正常输入
5.2默认值即为虚拟私有云，可以正常选择企业路由器
5.3可以正常输入授权码
5.4可以正常提交
6.列表可以正常显示新提交的连接，名称为er1-er2-conn,状态为运行中，连接类型为企业路由器
7.可以正常进入企业路由器详情页-连接tab下
8.添加连接弹窗可以正常打开
8.1可以正常输入
8.2默认值即为虚拟私有云，可以正常选择企业路由器
8.3可以正常输入授权码
8.4可以正常提交
9.列表可以正常显示新提交的连接，名称为er2-er1-conn,状态为运行中，连接类型为企业路由器
10.可以正常打开路由表tab页
11.可以正常弹窗打开路由表新建页
11.1可以正常输入
11.2可以正常选择到企业路由器
11.3可以正常选择连接
11.4可以正常选择下一跳
11.5可以正常提交
12.列表可以正常显示新提交的连接，名称为er1-er2-conn,状态为运行中，连接类型为企业路由器
13.可以正常打开路由表tab页
14.可以正常打开路由表tab页
14.1可以正常输入
14.2可以正常选择到企业路由器
14.3可以正常选择连接
14.4可以正常选择下一跳
14.5可以正常提交
15.列表可以正常显示新提交的连接，名称为er2-er1-conn,状态为运行中，连接类型为企业路由器
16.自定义路由可以正常添加，需要根据目的地址断言自定义路由列表是否存在新添加的路由规则
17.自定义路由可以正常添加，根据目的地址断言自定义路由列表是否存在新添加的路由规则
18.vm1可以正常ssh连接
18.1.可以正常ping通，需要断言ping的结果
19.vm1可以正常ssh连接
19.1.可以正常ping通，需要断言ping的结果","1.点击删除两个vpc下的自定义路由规则
2.删除ER实例下的所有连接
3.删除企业路由器实例
4.删除弹性云服务器vm1和vm2
5.删除虚拟私有云er1_vpc1和er1_vpc2",否
"1412951	",曙光云Stack,/资源中心/网络/企业路由器(#1240),ER > 可用性验证 > noHA2noHA-ER对等连接生效性验证,"1、预置虚拟私有云er1_vpc1，网段173.3.3.0/24，并在该vpc下预置一台弹性云服务器vm1
2、预置另一虚拟私有云er1_vpc2，网段174.4.4.0/24，并在该vpc下预置一台弹性云服务器vm2
3、预置两个非HA类型的企业路由器，名称为er1-noha-autotest和er2-noha-autotest
","1.进入企业路由器模块，登录云平台后，依次点击：资源中心->网络->企业路由器
2.ER列表页，点击前置条件3准备的实例er1-noha-autotest对应操作栏的生成授权码按钮，生成的授权码记为参数er1-code，点击取消按钮
3.返回ER列表页，点击前置条件3准备的实例er2-noha-autotest对应操作栏的生成授权码按钮，生成的授权码记为参数er2-code，点击取消按钮
4.ER列表页，点击er1-noha-autotest对应操作栏的管理连接按钮
5.点击添加连接按钮，按如下内容输入：
5.1 名称，按常规输入，如er1-er2-conn等
5.2 连接类型，选择企业路由器
5.3 授权码，输入步骤3记录的参数er2-code
5.4 其它字段保持默认值，点击确定
6.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
7.返回ER列表页，点击er2-noha-autotest对应操作栏的管理连接按钮
8.点击添加连接按钮，按如下内容输入：
8.1 名称，按常规输入，如er2-er1-conn等
8.2 连接类型，选择企业路由器
8.3 授权码，输入步骤2记录的参数er1-code
8.4 其它字段保持默认值，点击确定
9.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
10.返回ER列表页，点击前置条件3准备的实例er1-noha-autotest对应操作栏的管理路由表按钮
11.点击新建路由表规则按钮，按如下信息输入：
11.1目的地址：输入er1_vpc2的网段：174.4.4.0/24
11.2下一跳类型：选择企业路由器
11.3连接：选择连接er1-er2-conn
11.4下一跳：选择企业路由器er2-noha-autotest
11.5其它字段保持默认值不变，点击确定
12.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
13.返回ER列表页，点击前置条件3准备的实例er2-noha-autotest对应操作栏的管理路由表按钮
14.点击新建路由表规则按钮，按如下信息输入：
14.1目的地址：输入er1-vpc1的网段：173.3.3.0/24
14.2下一跳类型：选择企业路由器
14.3连接：选择连接er2-er1-conn
14.4下一跳：选择企业路由器er1-noha-autotest
14.5其它字段保持默认值不变，点击确定
15.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
16.进入VPC模块，列表点击er1_vpc1进入vpc详情，在路由表tab下添加自定义路由：
版本为ipv4，目的地址为er1_vpc2的网段174.4.4.0/24，下一跳类型为企业路由器，下一跳为前置条件3创建的er实例er1-noha-autotest
17.返回VPC列表页，列表点击er1_vpc2进入vpc详情，在路由表tab下添加自定义路由：
版本为ipv4，目的地址为er1_vpc1的网段173.3.3.0/24，下一跳类型为企业路由器，下一跳为前置条件3创建的er实例er2-noha-autotest
18.ssh_vm连接vm1，执行如下操作：
18.1.在弹性云服务器vm1的后台，执行命令：ping $vm2_ip，其中$vm2_ip为虚机vm2的ip地址，验证是否可以ping通，ping 4次全通，才算ping通；
ping的明细需要打印出来，并输出到日志中
19.ssh_vm连接vm2，执行如下操作：
19.1.在弹性云服务器vm2的后台，执行命令：ping $vm1_ip，其中$vm1_ip为虚机vm1的ip地址，验证是否可以ping通，ping 4次全通，才算ping通；
ping的明细需要打印出来，并输出到日志中","1.可以正常打开企业路由器列表
2.可以正常生成授权码
3.可以正常生成授权码
4.可以正常进入企业路由器详情页-连接tab下
5.添加连接弹窗可以正常打开
5.1可以正常输入
5.2默认值即为虚拟私有云，可以正常选择企业路由器
5.3可以正常输入授权码
5.4可以正常提交
6.列表可以正常显示新提交的连接，名称为er1-er2-conn,状态为运行中，连接类型为企业路由器
7.可以正常进入企业路由器详情页-连接tab下
8.添加连接弹窗可以正常打开
8.1可以正常输入
8.2默认值即为虚拟私有云，可以正常选择企业路由器
8.3可以正常输入授权码
8.4可以正常提交
9.列表可以正常显示新提交的连接，名称为er2-er1-conn,状态为运行中，连接类型为企业路由器
10.可以正常打开路由表tab页
11.可以正常弹窗打开路由表新建页
11.1可以正常输入
11.2可以正常选择到企业路由器
11.3可以正常选择连接
11.4可以正常选择下一跳
11.5可以正常提交
12.列表可以正常显示新提交的连接，名称为er1-er2-conn,状态为运行中，连接类型为企业路由器
13.可以正常打开路由表tab页
14.可以正常打开路由表tab页
14.1可以正常输入
14.2可以正常选择到企业路由器
14.3可以正常选择连接
14.4可以正常选择下一跳
14.5可以正常提交
15.列表可以正常显示新提交的连接，名称为er2-er1-conn,状态为运行中，连接类型为企业路由器
16.自定义路由可以正常添加，需要根据目的地址断言自定义路由列表是否存在新添加的路由规则
17.自定义路由可以正常添加，根据目的地址断言自定义路由列表是否存在新添加的路由规则
18.vm1可以正常ssh连接
18.1.可以正常ping通，需要断言ping的结果
19.vm1可以正常ssh连接
19.1.可以正常ping通，需要断言ping的结果","1.点击删除两个vpc下的自定义路由规则
2.删除ER实例下的所有连接
3.删除企业路由器实例
4.删除弹性云服务器vm1和vm2
5.删除虚拟私有云er1_vpc1和er1_vpc2",否
