用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"407249	",曙光云Stack,/资源中心/网络/流量镜像(#401498),镜像会话-新建-云内实例-开启,"1.预置虚拟私有云tm-vpc1，网段cidr没有要求，并在tm-vpc1下创建弹性云服务器tm-vm1，注意创建vpc和ecs时均需要加上前缀tm-
2.再预置一个虚拟私有云tm-vpc2，网段cidr没有要求，并在tm-vpc2下创建弹性云服务器tm-vm2，注意创建vpc和ecs时均需要加上前缀tm-
3.预置一个流量镜像实例tm-inside-test1，云内实例类型，选择前置条件1中的虚机tm-vm1作为目的实例","1. 进入流量镜像模块，登录云平台后，依次点击：资源中心->网络->流量镜像
2. 列表页，点击前置条件1准备的流量镜像实例tm-inside-test1的名称，进入详情页，选择镜像会话tab
3. 点击新建镜像会话按钮，按如下信息输入：
3.1. 名称：输入常规名称即可，如tm_session
3.2. 是否开启：默认值是开启，保持默认值不变
3.3. 专有网络：选择前置条件2准备的虚拟私有云tm-vpc2及其子网
3.4. 镜像源：选择前置条件2准备的虚机tm-vm2
3.5. 方向：选择全部流量
3.6. 描述：我的流量镜像_-123Abc
3.7. 输入以上信息后，点击确定
4.确认列表页是否显示刚新增的镜像会话","1. 可以正常进入流量镜像模块
2. 可以正常打开镜像会话tab页
3. 可以正常打开弹窗
3.1. 可以正常输入
3.2. 默认为开启，保持默认值
3.3. 可以正常选择
3.4. 可以正常选择
3.5. 可以正常选择
3.6. 可以正常输入
3.7. 可以正常提交创建镜像会话
4.镜像会话可以正常显示在列表页，名称为tm_session、方向为全部流量、状态为在线、是否开启字段为是","1.镜像会话tab页，点击列表操作栏的删除按钮删除镜像会话，需要删除所有镜像会话
2.返回流量镜像列表页，点击列表操作栏的删除按钮删除流量镜像实例
3.进入弹性云服务器删除前置条件1、2中准备的虚机，注意需要从回收站中删除掉
4.进入虚拟私有云模块，删除前置条件1、2中准备的虚拟私有云",否
"1407249	",曙光云Stack,/资源中心/网络/流量镜像(#401498),镜像会话-新建-云内实例-关闭,"1.预置虚拟私有云tm-vpc1，网段cidr没有要求，并在tm-vpc1下创建弹性云服务器tm-vm1，注意创建vpc和ecs时均需要加上前缀tm-
2.再预置一个虚拟私有云tm-vpc2，网段cidr没有要求，并在tm-vpc2下创建弹性云服务器tm-vm2，注意创建vpc和ecs时均需要加上前缀tm-
3.预置一个流量镜像实例tm-inside-test1，云内实例类型，选择前置条件1中的虚机tm-vm1作为目的实例","1. 进入流量镜像模块，登录云平台后，依次点击：资源中心->网络->流量镜像
2. 列表页，点击前置条件1准备的流量镜像实例tm-inside-test1的名称，进入详情页，选择镜像会话tab
3. 点击新建镜像会话按钮，按如下信息输入：
3.1. 名称：输入常规名称即可，如tm_session
3.2. 是否开启：默认值是开启，选择关闭
3.3. 专有网络：选择前置条件2准备的虚拟私有云tm-vpc2及其子网
3.4. 镜像源：选择前置条件2准备的虚机tm-vm2
3.5. 方向：选择全部流量
3.6. 描述：我的流量镜像_-123Abc
3.7. 输入以上信息后，点击确定
4.确认列表页是否显示刚新增的镜像会话","1. 可以正常进入流量镜像模块
2. 可以正常打开镜像会话tab页
3. 可以正常打开弹窗
3.1. 可以正常输入
3.2. 默认为开启，保持默认值
3.3. 可以正常选择
3.4. 可以正常选择
3.5. 可以正常选择
3.6. 可以正常输入
3.7. 可以正常提交创建镜像会话
4.镜像会话可以正常显示在列表页，名称为tm_session、方向为全部流量、状态为在线、是否开启字段为否","1.镜像会话tab页，点击列表操作栏的删除按钮删除镜像会话，需要删除所有镜像会话
2.返回流量镜像列表页，点击列表操作栏的删除按钮删除流量镜像实例
3.进入弹性云服务器删除前置条件1、2中准备的虚机，注意需要从回收站中删除掉
4.进入虚拟私有云模块，删除前置条件1、2中准备的虚拟私有云",否
"421687	",曙光云Stack,/资源中心/网络/流量镜像(#401498),镜像会话-新建-云外设备,"1.再预置一个虚拟私有云tm-vpc2，网段cidr没有要求，并在tm-vpc2下创建弹性云服务器tm-vm2，注意创建vpc和ecs时均需要加上前缀tm-
2.预置一个流量镜像实例tm-outside-test1，云外设备类型，VLAN字段输入固定值259，MAC地址输入fa:16:e3:44:53:47","1. 进入流量镜像模块，登录云平台后，依次点击：资源中心->网络->流量镜像
2. 列表页，点击前置条件1准备的流量镜像实例tm-outside-test1的名称，进入详情页，选择镜像会话tab
3. 点击新建镜像会话按钮，按如下信息输入：
3.1. 名称：输入常规名称即可，如tm_session
3.2. 是否开启：默认值是开启，保持默认值不变
3.3. 专有网络：选择前置条件1准备的虚拟私有云tm-vpc2及其子网
3.4. 镜像源：选择前置条件1准备的虚机tm-vm2
3.5. 方向：选择出向流量
3.6. 描述：我的流量镜像_-123Abc
3.7. 输入以上信息后，点击确定
4.确认列表页是否显示刚新增的镜像会话","1. 可以正常进入流量镜像模块
2. 可以正常打开镜像会话tab页
3. 可以正常打开弹窗
3.1. 可以正常输入
3.2. 默认为开启，保持默认值
3.3. 可以正常选择
3.4. 可以正常选择
3.5. 可以正常选择
3.6. 可以正常输入
3.7. 可以正常提交创建镜像会话
4.镜像会话可以正常显示在列表页，名称为tm_session、方向为出向流量、状态为在线、是否开启字段为否是","1.镜像会话tab页，点击列表操作栏的删除按钮删除镜像会话，需要删除所有镜像会话
2.返回流量镜像列表页，点击列表操作栏的删除按钮删除流量镜像实例
3.进入弹性云服务器删除前置条件1中准备的虚机，注意需要从回收站中删除掉
4.进入虚拟私有云模块，删除前置条件1中准备的虚拟私有云",否
