用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"407247	",曙光云Stack,/资源中心/网络/流量镜像(#401498),流量镜像-云内实例-修改,"1.预置虚拟私有云tm-vpc1，网段cidr没有要求，并在tm-vpc1下创建弹性云服务器tm-vm1，注意创建vpc和ecs时均需要加上前缀tm-
2.预置一个流量镜像实例tm-inside-test1，云内实例类型，选择前置条件1中的虚机tm-vm1作为目的实例","1. 进入流量镜像模块，登录云平台后，依次点击：资源中心->网络->流量镜像
2. 列表页，点击前置条件1准备的流量镜像实例tm-inside-test1对应操作栏的修改按钮
2.1. 修改名称，如名称字段在原有名称基础上增加-modified
2.2.修改描述字段，描述字段输入:这是autotest修改之后的描述信息
2.3.修改后点击确定
3.列表页确认修改后的信息
4.列表页点击流量镜像名称进入详情，确认详情页修改后的信息","1. 可以正常进入流量镜像模块
2. 可以打开该流量镜像实例的修改弹窗，需要断言初始值显示正确，与列表显示的值一致
2.1.可以修改修改名称
2.2.可以正常修改描述
2.3.可以正常提交
3.修改后列表显示修改后的值，名称字段和描述字段均是修改后的值
4.详情页显示修改后的值，名称字段和描述字段均是修改后的值","
1.流量镜像列表页，点击列表操作栏的删除按钮删除流量镜像实例",否
"1407247	",曙光云Stack,/资源中心/网络/流量镜像(#401498),流量镜像-云外设备-修改,"1.预置一个虚拟私有云tm-vpc2，网段cidr没有要求，并在tm-vpc2下创建弹性云服务器tm-vm2，注意创建vpc和ecs时均需要加上前缀tm-
2.预置一个流量镜像实例tm-outside-test1，云外设备类型，VLAN字段输入固定值259，MAC地址输入fa:16:e3:44:53:47
3.在流量镜像实例tm-outside-test1下预置一镜像会话，名称为tm-session、开启状态、专有网络选择前置条件1准备的虚拟私有云tm-vpc2及其子网、镜像源选择前置条件1准备的虚机tm-vm2，方向选择全部流量","1. 进入流量镜像模块，登录云平台后，依次点击：资源中心->网络->流量镜像
2. 列表页，点击前置条件1准备的流量镜像实例tm-outside-test1对应操作栏的修改按钮
2.1. 修改名称，如名称字段在原有名称基础上增加-modified
2.2.修改描述字段，描述字段输入:这是autotest修改之后的描述信息
2.3.修改后点击确定
3.列表页确认修改后的信息
4.列表页点击流量镜像名称进入详情，确认详情页修改后的信息","1. 可以正常进入流量镜像模块
2. 可以打开该流量镜像实例的修改弹窗，需要断言初始值显示正确，与列表显示的值一致
2.1.可以修改修改名称
2.2.可以正常修改描述
2.3.可以正常提交
3.修改后列表显示修改后的值，名称字段和描述字段均是修改后的值
4.详情页显示修改后的值，名称字段和描述字段均是修改后的值","1.镜像会话tab页，点击列表操作栏的删除按钮删除镜像会话，需要删除所有镜像会话
2.返回流量镜像列表页，点击列表操作栏的删除按钮删除流量镜像实例",否
