用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
5923,曙光云Stack,/资源中心/网络/企业路由器(#1240),ER >添加VPC连接功能验证,"1、预置虚拟私有云er1_vpc1，网段173.3.3.0/24
2、预置一个HA类型的企业路由器，名称为er-ha-autotest","1.进入企业路由器模块，登录云平台后，依次点击：资源中心->网络->企业路由器
2.ER列表页，点击前置条件2中准备的实例名称，进入详情页
3.点击连接tab
4.点击添加连接按钮，按如下内容输入：
4.1 名称，按常规输入，如er1-vpc1-conn等
4.2 连接类型，默认值为虚拟私有云，保持不变
4.3 虚拟私有云，选择前置条件1中预置的er1_vpc1
4.4 子网，选择该vpc下的子网
4.5 其它字段保持默认值，点击确定
5.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在","1.可以正常打开企业路由器列表
2.详情页可以正常打开
3.可以正常打开连接tab
4.可以正常打开连接新建弹窗
4.1可以正常输入
4.2默认值即为虚拟私有云，保持不变
4.3可以正常选择er1_vpc1
4.4可以正常选择到该vpc的子网
4.5可以正常提交
5列表可以正常显示新提交的连接，名称为er1-vpc1-conn,状态为运行中，连接类型为虚拟私有云","1.点击连接列表对应操作栏的删除按钮
2.所有连接均删除完成后，在er列表，点击企业路由器实例操作栏的删除按钮",是
"412939	",曙光云Stack,/资源中心/网络/企业路由器(#1240),ER >添加ER连接功能验证,"1、预置虚拟私有云er2_vpc1，网段173.3.3.0/24
2、预置一个HA类型的企业路由器，名称为er1-ha-autotest
3、预置一个非HA类型的企业路由器，名称为er2-noha-autotest","1.进入企业路由器模块，登录云平台后，依次点击：资源中心->网络->企业路由器
2.ER列表页，点击前置条件2准备的实例er1-ha-autotest对应操作栏的生成授权码按钮，生成的授权码记为参数er1-code，点击取消按钮
3.返回ER列表页，点击前置条件3准备的实例er2-noha-autotest对应操作栏的生成授权码按钮，生成的授权码记为参数er2-code，点击取消按钮
4.ER列表页，点击er1-ha-autotest对应操作栏的管理连接按钮
5.点击添加连接按钮，按如下内容输入：
5.1 名称，按常规输入，如er1-er2-conn等
5.2 连接类型，选择企业路由器
5.3 授权码，输入步骤3记录的参数er2-code
5.4 其它字段保持默认值，点击确定
6.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在
7.返回ER列表页，点击er2-noha-autotest对应操作栏的管理连接按钮
8.点击添加连接按钮，按如下内容输入：
8.1 名称，按常规输入，如er2-er1-conn等
8.2 连接类型，选择企业路由器
8.3 授权码，输入步骤2记录的参数er1-code
8.4 其它字段保持默认值，点击确定
9.点击确定后，返回连接列表，稍等1分钟后，在等待期间每隔20秒点击列表右上方的刷新按钮，1分钟后在列表确认新增的连接是否存在","1.可以正常打开企业路由器列表
2.可以正常生成授权码
3.可以正常生成授权码
4.可以正常进入企业路由器详情页-连接tab下
5.添加连接弹窗可以正常打开
5.1可以正常输入
5.2默认值即为虚拟私有云，可以正常选择企业路由器
5.3可以正常输入授权码
5.4可以正常提交
6.列表可以正常显示新提交的连接，名称为er1-er2-conn,状态为运行中，连接类型为企业路由器
7.可以正常进入企业路由器详情页-连接tab下
8.添加连接弹窗可以正常打开
8.1可以正常输入
8.2默认值即为虚拟私有云，可以正常选择企业路由器
8.3可以正常输入授权码
8.4可以正常提交
9.列表可以正常显示新提交的连接，名称为er2-er1-conn,状态为运行中，连接类型为企业路由器","1.点击连接列表对应操作栏的删除按钮
2.所有连接均删除完成后，在er列表，点击企业路由器实例操作栏的删除按钮",是
