用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"407258	",曙光云Stack,/资源中心/网络/流量镜像(#401498),流量镜像-新建-云内实例-ECS类型,1.预置虚拟私有云tm-vpc1，网段cidr没有要求，并在tm-vpc1下创建弹性云服务器vm1,"1. 进入流量镜像模块，登录云平台后，依次点击：资源中心->网络->流量镜像
2. 点击新建流量镜像按钮
2.1. 名称：输入常规名称即可，如tm_test
2.2. 目的类型：选择云内实例
2.3. 实例类型：选择云服务器
2.4. 目的实例：选择前置条件1准备的弹性云服务器vm1
2.5. 其它信息保持默认值即可，点击确定
3.提交后，页面跳转列表页，验证列表页是否存在新建的流量镜像实例
4.列表页，点击新增的流量镜像实例名称
5.ssh_vm连接vm1，执行如下操作：
51.在弹性云服务器vm1的后台，执行命令：ip ad list eth1，并将系统返回的结果输出到日志中，供后续查询","1. 页面可以正常跳转进入流量镜像模块
2. 可以正常弹窗
2.1. 可以正常输入
2.2. 可以正常选择到
2.3. 可以正常选择到
2.4. 可以正常选择到
2.5. 可以正常创建流量镜像实例
3.列表可以查看到，断言名称为tm_test的实例存在，且状态为正常
4.可以正常打开详情页，验证详情页显示的名称字段为tm_test、虚拟机名称字段为vm1、实例状态字段为运行
5.可以正常ssh连接vm1
5.1.eth1网卡存在，需要断言此网卡存在，ip ad list eth1命令输出不能包括""does not exist""字符串",1.点击列表操作栏的删除按钮,否
"421682	",曙光云Stack,/资源中心/网络/流量镜像(#401498),流量镜像-新建-云外设备,,"1. 进入流量镜像模块，登录云平台后，依次点击：资源中心->网络->流量镜像
2. 点击新建流量镜像按钮
2.1. 名称：输入常规名称即可，如tm_underlay_test
2.2. 目的类型：选择云外设备
2.3. VLAN：输入固定值259
2.4. MAC地址：输入fa:16:e3:44:53:47
2.5. 其它信息保持默认值即可，点击确定
3.提交后，页面跳转列表页，验证列表页是否存在新建的流量镜像实例
4.列表页，点击新增的流量镜像实例名称","1. 页面可以正常跳转进入流量镜像模块
2. 可以正常弹窗
2.1. 可以正常输入
2.2. 可以正常选择到
2.3. 可以正常输入
2.4. 可以正常输入
2.5. 可以正常创建流量镜像实例
3.列表可以查看到，断言名称为tm_underlay_test的实例存在，且状态为正常，VLAN值为259，MAC地址正确
4.可以正常打开详情页，验证详情页显示的名称字段为tm_test、类型为云外设备、状态字段为正常、VLAN和MAC地址均正确",1.点击列表操作栏的删除按钮,否
