用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"6112	",曙光云Stack,/资源中心/网络/云专线v1/虚拟网关(#1021),虚拟网关-修改功能测试-vpc,"1、预置虚拟私有云dc1-vpc1，网段13.34.34.0/24
2、预置一个虚拟网关virtual-gateway，关联模式为虚拟私有云，关联预置的dc1-vpc1","1.登录云平台后，依次点击资源中心->网络->云专线->虚拟网关，进入虚拟网关模块
2.针对前置条件中准备的虚拟网关virtual-gateway，点击其操作栏的修改按钮
3.确认名称、关联模式、虚拟私有云等字段值是否准确
4.修改字段信息，修改名称字段值为原名称的字段值加上后缀-modify，描述字段修改为""修改后的描述值""，点击立即修改按钮
5.列表页查看修改后的记录信息
6.列表页点击前置条件2准备的虚拟网关名称打开详情抽屉窗口，详情页查看修改后的记录信息","1. 页面可正常跳转，无报错出现
2. 可以正常点击修改按钮
3. 名称、关联模式、虚拟私有云等字段值显示正确，且关联模式、虚拟私有云不允许修改，只读显示
4.. 可以正常修改提交
5. 列表页验证修改后的字段值，名称为修改后的新值，状态为运行中
6. 详情验证修改后的字段值，名称为修改后的新值，描述为新修改的描述值
","1.删除虚拟网关virtual-gateway
2.删除虚拟私有云dc1-vpc1",否
"5623	",曙光云Stack,/资源中心/网络/云专线v1/虚拟接口(#1022),虚拟接口-修改功能测试-vpc-静态路由,"1、预置虚拟私有云dc1-vpc1，网段13.34.34.0/24
2、预置一个HA类型的物理连接physical-connection，并审批通过，审批时vlan号固定为205
3、预置一个虚拟网关virtual-gateway，关联模式为虚拟私有云，关联预置的dc1-vpc1
4、预置一个虚拟接口virtual-interface，物理连接选择physical-connection，虚拟网关选择virtual-gateway，虚拟子网字段，选择下拉列表中的子网，本端网关是固定值11.22.0.2/24，远端网关也是固定值11.22.0.3/24，路由模式选择静态路由，远端子网字段是固定值123.12.0.0/24","1.登录云平台后，依次点击资源中心->网络->云专线->虚拟接口，进入虚拟接口模块
2. 针对前置条件中准备的虚拟接口virtual-interface，点击其操作栏的修改按钮
3.确认名称、物理连接、虚拟网关、本端网关、远端网关、路由模式、远端子网等字段值是否准确
4.修改字段信息，修改名称字段值为原名称的字段值加上后缀-modify，描述字段修改为""修改后的描述值""，点击立即修改按钮
5.列表页查看修改后的记录信息
6.列表页点击前置条件4准备的虚拟接口名称进入详情，详情页查看修改后的记录信息
","1. 页面可正常跳转，无报错出现
2. 可以正常点击修改按钮
3. 名称、物理连接、虚拟网关、本端网关、远端网关、路由模式、远端子网等字段值显示正确，且物理连接、虚拟网关、虚拟子网、本端网关、远端网关、路由模式等字段不允许修改，只读显示
4.. 可以正常修改提交
5. 列表页验证修改后的字段值，名称为修改后的新值，状态为运行中
6. 详情验证修改后的字段值，名称为修改后的新值，描述为新修改的描述值
","1.删除虚拟接口
2.删除虚拟网关
3.注销物理连接
4.删除虚拟私有云dc1-vpc1",否
