用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"5611	",曙光云Stack,/资源中心/网络/云专线v1/虚拟网关(#1021),虚拟网关-新建功能测试-vpc-静态路由,"1、预置dc1_vpc1，网段13.34.34.0/24，并在vpc1下创建两个弹性云服务器vm1、vm2
2、预置一个HA类型的物理连接，并审批通过，vlan号为205","1. 登录云平台后，再依次点击页面的：资源中心->网络->云专线DC->虚拟网关 ，进入“虚拟网关”页面。
2. 进入虚拟网关页面后，再次点击新建按钮，表单信息按如下内容输入：
2.1. 网关名称字段，输入自定义字符串，如virtual_gateway
2.2. 关联模式字段，选择虚拟私有云
2.3. 虚拟私有云字段，选择预置的dc1_vpc1
2.4. 其它信息保持默认值
2.5. 点击立即创建
3. 点击创建之后，页面跳转虚拟网关列表，验证列表页虚拟网关信息","1. 页面可正常跳转，无报错出现
2. 
2.1. 可以正常输入网关名称
2.2. 可以正常选择关联模式
2.3. 可以选择到预置的vpc1
2.4. 各字段保持默认值
2.5. 可以正常提交创建虚拟网关
2.5. 跳转到虚拟网关列表页面后，可以查看到刚刚创建的虚拟网关，名称为步骤2.1输入的名称，状态为运行中，资源名称为预置的vpc名称dc1_vpc1
","1.点击云专线-虚拟网关列表操作栏的删除按钮
2.在删除确认弹窗中，点击确定",是
"5617	",曙光云Stack,/资源中心/网络/云专线v1/虚拟接口(#1022),虚拟接口-新建-vpc类型虚拟网关-静态路由,"1、预置dc1_vpc1，网段13.34.34.0/24，并在vpc1下创建两个弹性云服务器vm1、vm2
2、预置一个HA类型的物理连接physical_connection，并审批通过，vlan号为205
3、预置一个虚拟网关virtual_gateway，关联模式为虚拟私有云，关联预置的dc1_vpc1","1. 登录云平台后，再依次点击页面的：资源中心->网络->云专线DC->虚拟接口 ，进入“虚拟接口”页面。
2. 进入虚拟接口页面后，再次点击新建按钮，表单信息按如下内容输入：
2.1. 名称字段，输入自定义字符串，如virtual_interface
2.2. 物理连接字段，选择前置条件2中预置的物理连接
2.3. 虚拟网关字段，选择前置条件3中预置的虚拟网关
2.4. 虚拟子网字段，选择下拉列表中的子网，如果有多个的话选择第1个
2.5. 本端网关（云端侧），固定值，输入11.22.0.2/24
2.6. 远端网关（用户侧），固定值，输入11.22.0.3/24
2.7. 路由模式，选择静态路由
2.8. 远端子网字段，固定值，输入:123.12.0.0/24
2.9. 其它信息保持默认值，点击立即创建
3. 点击创建之后，页面跳转虚拟接口列表，等待2分钟后，验证列表页虚拟网关信息
","1. 页面可正常跳转，无报错出现
2. 
2.1. 可以正常输入名称
2.2. 可以正常选择物理连接
2.3. 可以正常选择虚拟网关
2.4. 可以正常选择子网
2.5. 可以正常输入本端网关
2.6. 可以正常输入远端网关
2.7. 可以选择静态路由模式
2.8. 可以正常输入远端子网字段
2.9.可以正常提交创建虚拟接口
3. 可以正常创建，创建后列表可以正常显示新增的虚拟接口记录，名称为步骤2.1输入的名称，状态为运行中
","1.点击云专线-虚拟接口列表操作栏的删除按钮
2.在删除确认弹窗中，点击确定",是
