用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"414680	",曙光云Stack,/资源中心/网络/网络Qos(#808),网络QoS > VIP绑定的FIP限速-生效性验证,"1、预置虚拟私有云qos_vpc1，网段175.175.3.0/24，并在qos_vpc1下创建两个弹性云服务器qos_vm1、qos_vm2。注意预置的vpc和ecs都需要增加前缀qos_
2、预置一个qos实例：发送速率为200Mbps、接收速率为100Mbps
3、预先申请3个fip地址，公有网络选择public_net(基础版)
4、预置条件3申请的fip地址列表中，为列表排第1位且当前没有绑定任何设备的fip绑定前置条件2准备的qos，记此fip为fip1
5、弹性云服务器列表页，为qos_vm2绑定弹性公网ip地址fip2，即选择未绑定qos的fip地址
","1.进入虚拟私有云模块，登录云平台后，依次点击：资源中心-网络-虚拟私有云
2.vpc列表，点击前置条件1准备的qos_vpc1的名称，进入详情页，
3.选择虚拟IP管理tab
4.点击申请虚拟IP地址按钮，在弹窗中选择该vpc下的子网，其它值保持默认，点击确定按钮，记申请的虚拟ip为vip1
5.虚拟ip列表，针对刚申请的vip地址vip1，点击操作栏的绑定公网ip按钮
5.1在绑定公网ip弹窗中，资源池选择public_net(基础版)
5.2fip列表中，选择前置条件4中准备的fip1，即有qos限速的fip地址
5.3点击确定
6.虚拟ip列表，点击vip1对应操作栏的绑定实例按钮，按如下选择
6.1.实例类型，选择云服务器
6.2.云服务器列表，选择前置条件1中准备的qos_vm1虚机，可以根据名称搜索后，选择此虚机
6.3.点击确定 
7. 验证接收速率，ssh_vm分别连接qos_vm1、qos_vm2,执行如下操作
7.1.在弹性云服务器qos_vm1的后台，执行命令：ip ad add $vip1/24 dev eth0  && iperf3 -s，注意替换变量$vip为步骤4实际申请的vip1
7.2.在弹性云服务器qos_vm2的后台，执行命令：iperf3 -c <fip1>  -t 50
7.3.等待52秒后，观察qos_vm1中打流的bandwidth字段
7.4.在弹性云服务器qos_vm1的后台，执行命令：pkill iperf3
8. 验证发送速率，ssh_vm分别连接qos_vm1、qos_vm2,执行如下操作
8.1. 在弹性云服务器qos_vm2的后台，执行命令：iperf3 -s
8.2. 在弹性云服务器qos_vm1的后台，执行命令：iperf3 -c <fip2>  -t 50
8.3. 等待52秒后，观察qos_vm1中打流的bandwidth字段
8.4. 在弹性云服务器qos_vm2的后台，执行命令：pkill iperf3
9. 验证FIP 解绑QoS后，带宽不受QoS限制
9.1.进入弹性公网IPv4列表页，针对fip1,点击操作栏的更多->解绑QoS
10. 验证接收速率未受限，qos绑定成功，ssh_vm分别连接qos_vm1、qos_vm2,执行如下操作
10.1. 在弹性云服务器qos_vm1的后台，执行命令：iperf3 -s
10.2. 在弹性云服务器qos_vm2的后台，执行命令：iperf3 -c <fip1>  -t 50
10.3. 等待52秒后，观察qos_vm1中打流的bandwidth字段
10.4. 在弹性云服务器qos_vm1的后台，执行命令：pkill iperf3","1.可以正常打开虚拟私有云列表
2.可以正常打开vpc详情页
3.可以正常显示虚拟ip列表
4.可以正常申请到vip，列表新增一条新的vip记录
5.可以正常打开绑定公网ip的弹窗
5.1可以正常选择到public_net(基础版)
5.2可以正常选择到fip1
5.3可以正常提交绑定fip地址，vip列表对应的字段""绑定的公网IP""显示fip1，此处需要断言
6.可以正常打开绑定实例弹窗
6.1.可以正常选择到
6.2.可以正常选择到qos_vm1虚机
6.3.可以正常提交，提交后，vip对应的字段""绑定的实例""显示qos_vm1的名称及ip地址
7. 
7.1.可以通过ssh正常连接qos_vm1，命令执行成功，输出""Server listening on 5201""
7.2.可以通过ssh正常连接qos_vm2，并且打流成功
7.3.接收速率大致稳定在100Mbps左右（允许上下浮动10%）
7.4.可以正常杀掉iperf3的进程
8. 
8.1.可以通过ssh正常连接qos_vm2，命令执行成功，输出""Server listening on 5201""
8.2.可以通过ssh正常连接qos_vm1，并且打流成功
8.3.发送速率大致稳定在200Mbps左右（允许上下浮动10%）
8.4.可以正常杀掉iperf3的进程
9. 
9.1.fip1的qos解绑成功，此时弹性公网ip列表页，fip1的发送速率和接收速度字段显示为不限制
10. 
10.1.可以通过ssh正常连接qos_vm1，命令执行成功，输出""Server listening on 5201""
10.2.可以通过ssh正常连接qos_vm2，并且打流成功
10.3.接收速率远远大于100Mbps，即不受之前qos的限制
10.4.可以正常杀掉iperf3的进程","1.弹性公网ipv4列表页，针对fip1解绑qos
2.进入虚拟IP管理tab页，将虚拟ip与实例解绑
3.进入虚拟IP管理tab页，将虚拟ip与公网IP解绑
4.删除虚拟ip
5.删除qos实例
6.释放申请的3个fip地址
7.删除弹性云服务器qos_vm1和qos_vm2
8.删除虚拟私有云qos_vpc1",否
"414703	",曙光云Stack,/资源中心/网络/网络Qos(#808),网络QoS > NATv1的FIP限速-生效性验证,"1、参考用例http://pm.mysugoncloud.com:82/testcase-view-5697.html步骤1-4创建snat规则
2、云平台已存在qos1，发送和接收速率均为80Mbps
3、master节点已放开5201端口，可执行如下命令放开端口,所有master节点都要执行：
sudo su -
firewall-cmd --zone=public --add-port=5201/tcp --permanent
firewall-cmd --reload","1. 点击云平台左上角产品与服务->网络->弹性公网IP
2. 选择前置条件1中的fip1,点击操作->绑定QoS，选中前置条件2中的qos1
3. 在环境后台master节点执行命令：iperf3 -s
在nat网关所在的vpc下的弹性云服务器内执行命令：iperf3 -c  -t 5000
","1. 成功跳转到弹性公网IPv4列表
2. QoS绑定成功，fip列表展示fip1的发送速率和接受速率都是80Mbps
3. 问成功 ，打流带宽受qos限制，打流的bandwidth字段大致稳定在80Mbps左右
","1.弹性公网ipv4列表页，针对fip1解绑qos
2.删除qos实例
3.删除弹性云服务器qos_vm1和qos_vm2
4.删除虚拟私有云qos_vpc1",否
