用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
"5922	",曙光云Stack,/资源中心/网络/企业路由器(#1240),企业路由器-修改基本信息-无连接,1、预置一个非HA类型的企业路由器，名称为er-noha-autotest,"1.进入企业路由器模块，登录云平台后，依次点击：资源中心->网络->企业路由器
2.ER列表页，点击前置条件1中准备的er-noha-autotest对应操作栏的修改基本信息按钮
3.打开修改弹窗后，按如下信息输入：
3.1.名称，在原有名称基础上增加-modify
3.2.描述，输入值：这是autotest修改的描述信息
3.3. 点击确定
4.返回列表页，验证修改后的基本信息
5.点击名称进入详情页，验证修改后的基本信息","1.可以正常打开企业路由器列表
2.可以正常点击，点击后可以打开修改弹窗，注意断言初始值显示准确
3.
3.1名称字段可以正常输入
3.2描述字段可以正字输入
3.3点击后，可以正常提交，有相应的提交成功的弹窗提示，提示""修改企业路由器成功""
4.列表页显示修改后的er信息，名称为修改后的名称字段值
5.详情页显示修改后的er信息，名称为修改后的名称字段值，描述为修改后的描述值","
1..删除企业路由器实例
",否
"15922	",曙光云Stack,/资源中心/网络/企业路由器(#1240),企业路由器-修改基本信息-有连接,"1、预置虚拟私有云er1_vpc1，网段为173.3.3.0/24
2、预置一个HA类型的企业路由器，名称为er-ha-autotest
3、将前置条件1准备的虚拟私有云er1_vpc1添加为er-ha-autotest的连接，添加连接的步骤可参考企业路由器连接新建的用例","1.进入企业路由器模块，登录云平台后，依次点击：资源中心->网络->企业路由器
2.ER列表页，点击前置条件1中准备的er-ha-autotest对应操作栏的修改基本信息按钮
3.打开修改弹窗后，按如下信息输入：
3.1.名称，在原有名称基础上增加-modify
3.2.描述，输入值：这是autotest修改的描述信息
3.3. 点击确定
4.返回列表页，验证修改后的基本信息
5.点击名称进入详情页，验证修改后的基本信息","1.可以正常打开企业路由器列表
2.可以正常点击，点击后可以打开修改弹窗，注意断言初始值显示准确
3.
3.1名称字段可以正常输入
3.2描述字段可以正字输入
3.3点击后，可以正常提交，有相应的提交成功的弹窗提示，提示""修改企业路由器成功""
4.列表页显示修改后的er信息，名称为修改后的名称字段值
5.详情页显示修改后的er信息，名称为修改后的名称字段值，描述为修改后的描述值","
1.删除ER实例下的所有连接
2.删除企业路由器实例
",否
